Metric,Importance
up_incidence-1_spectral_gap_mean,0.06438191342800827
2-up_incidence-0_spectral_gap_mean,0.055356136231853745
down_adjacency-1_clustering_coefficient_mean,0.05117742761213271
down_incidence-2_dirichlet_energy_mean,0.05010104458356364
up_adjacency-1_spectral_gap_mean,0.04905960743841695
down_incidence-2_spectral_gap_mean,0.047166539588639984
2-down_incidence-2_spectral_gap_mean,0.03401285122671961
down_incidence-2_effective_diameter_mean,0.03027457364718909
down_incidence-1_spectral_gap_mean,0.02977219267581312
2-up_adjacency-0_dirichlet_energy_mean,0.0293562895454025
2-up_adjacency-0_spectral_gap_mean,0.025271636542922474
down_incidence-1_spectral_radius_mean,0.022567140419615477
up_incidence-0_dirichlet_energy_mean,0.020267132158799724
down_adjacency-2_clustering_coefficient_mean,0.020202020202020204
down_adjacency-2_effective_diameter_mean,0.020090922294221922
down_adjacency-2_spectral_gap_mean,0.019807988290408064
down_adjacency-1_effective_diameter_mean,0.015380348115489027
up_adjacency-0_effective_diameter_mean,0.015364768378739357
2-down_adjacency-2_clustering_coefficient_mean,0.01525679504296274
down_adjacency-1_spectral_radius_mean,0.01522524196834762
up_adjacency-1_spectral_radius_mean,0.015151515151515152
down_adjacency-2_dirichlet_energy_mean,0.015151515151515152
2-up_incidence-0_effective_diameter_mean,0.015151515151515152
up_incidence-0_kirchhoff_index_mean,0.015120314454170558
2-up_incidence-0_dirichlet_energy_mean,0.014893341430586498
up_adjacency-1_clustering_coefficient_mean,0.01464454503829351
down_incidence-1_kirchhoff_index_mean,0.014316856951938212
2-down_adjacency-2_dirichlet_energy_mean,0.013951815382356523
up_incidence-0_spectral_gap_mean,0.013390493052171258
down_incidence-1_dirichlet_energy_mean,0.012776146310690352
2-down_adjacency-2_effective_diameter_mean,0.01161458881267252
down_incidence-1_degree_assortativity_mean,0.011375185457359277
up_adjacency-0_spectral_gap_mean,0.011019881842747667
2-up_adjacency-0_clustering_coefficient_mean,0.010674868197492566
up_incidence-0_effective_diameter_mean,0.010572879475876203
up_incidence-1_dirichlet_energy_mean,0.010283738026074398
2-up_incidence-0_spectral_radius_mean,0.010132210798354694
down_adjacency-1_dirichlet_energy_mean,0.010101010101010102
up_adjacency-1_dirichlet_energy_mean,0.010101010101010102
up_adjacency-0_clustering_coefficient_mean,0.010091362557332128
2-up_adjacency-0_spectral_radius_mean,0.009779291451406748
2-down_incidence-2_spectral_radius_mean,0.007889625496811234
2-up_adjacency-0_kirchhoff_index_mean,0.007775722656268868
down_incidence-2_degree_assortativity_mean,0.007588607387893366
2-down_adjacency-2_spectral_radius_mean,0.005767338023715694
down_adjacency-1_degree_assortativity_mean,0.005372223700108404
2-up_adjacency-0_effective_diameter_mean,0.005360845051599934
up_adjacency-1_degree_assortativity_mean,0.005251766021885401
up_incidence-0_spectral_radius_mean,0.005167748255067611
2-down_adjacency-2_spectral_gap_mean,0.005161602958303329
up_adjacency-1_kirchhoff_index_mean,0.00514062522194932
2-down_adjacency-2_degree_assortativity_mean,0.005050505050505051
down_incidence-2_spectral_radius_mean,0.005050505050505051
up_adjacency-1_effective_diameter_mean,0.005050505050505051
up_incidence-1_degree_assortativity_mean,0.005050505050505051
2-down_incidence-2_effective_diameter_mean,0.004974301444938946
down_adjacency-2_degree_assortativity_mean,0.004845853508339871
2-down_incidence-2_dirichlet_energy_mean,0.004842113803226494
up_adjacency-0_degree_assortativity_mean,0.004196039819756844
down_adjacency-1_kirchhoff_index_mean,0.003612499465972111
up_adjacency-0_spectral_radius_mean,0.00166747328022614
up_incidence-1_spectral_radius_mean,0.001335498621678162
up_incidence-1_effective_diameter_mean,0.0011068609691014077
up_adjacency-0_dirichlet_energy_mean,0.0008416663650984312
down_adjacency-2_spectral_radius_mean,0.0006206850485441647
down_incidence-2_kirchhoff_index_mean,0.0003599080647812422
2-down_incidence-2_degree_assortativity_mean,0.00029638936655469527
up_incidence-0_degree_assortativity_mean,0.00017502783073234738
down_adjacency-1_spectral_gap_mean,3.981177744569048e-05
down_incidence-1_effective_diameter_mean,2.109137062509613e-05
