Metric,Importance
up_adjacency-0_clustering_coefficient_mean,0.058303864090021064
up_incidence-0_degree_assortativity_mean,0.05141711107240858
2-up_adjacency-0_spectral_gap_mean,0.045906251317285325
down_incidence-1_dirichlet_energy_mean,0.04082516973785718
down_adjacency-1_clustering_coefficient_mean,0.040791310662205184
down_adjacency-1_degree_assortativity_mean,0.03217298233599899
up_adjacency-1_spectral_gap_mean,0.031792231817407146
up_incidence-0_effective_diameter_mean,0.030843820980386186
down_incidence-1_spectral_gap_mean,0.028168008775483807
down_incidence-1_degree_assortativity_mean,0.028156533931988054
2-down_incidence-2_spectral_gap_mean,0.025974524409308027
up_adjacency-0_spectral_gap_mean,0.02390834650494207
up_adjacency-0_effective_diameter_mean,0.02308477968746868
down_incidence-2_spectral_radius_mean,0.021251616512320926
up_incidence-0_spectral_gap_mean,0.020597033344528073
up_adjacency-1_spectral_radius_mean,0.020035145459265827
2-up_adjacency-0_clustering_coefficient_mean,0.019254679736877056
up_incidence-0_spectral_radius_mean,0.01826768351046396
up_incidence-1_dirichlet_energy_mean,0.017153126418953175
down_incidence-1_kirchhoff_index_mean,0.016090947381046543
down_adjacency-1_kirchhoff_index_mean,0.01606461713874109
down_incidence-1_effective_diameter_mean,0.01485213017662377
up_adjacency-0_spectral_radius_mean,0.013655679001290732
down_adjacency-2_degree_assortativity_mean,0.013431884853973303
up_adjacency-0_dirichlet_energy_mean,0.013097600444675282
down_adjacency-1_effective_diameter_mean,0.012878529339968137
down_adjacency-1_spectral_gap_mean,0.012055463948041795
2-up_incidence-0_dirichlet_energy_mean,0.011659620090074412
up_incidence-0_kirchhoff_index_mean,0.0115818714167298
2-down_adjacency-2_spectral_radius_mean,0.011115014679667334
up_incidence-1_spectral_radius_mean,0.01066610283284487
2-down_incidence-2_degree_assortativity_mean,0.010510599347762092
down_adjacency-1_spectral_radius_mean,0.010072792899541091
2-up_incidence-0_effective_diameter_mean,0.009879634955815541
up_incidence-0_dirichlet_energy_mean,0.009707584647270838
down_incidence-2_dirichlet_energy_mean,0.009657483670838591
down_incidence-1_spectral_radius_mean,0.009574620691255507
up_adjacency-0_kirchhoff_index_mean,0.009573903332498102
2-down_incidence-2_spectral_radius_mean,0.009241899116766839
up_adjacency-1_clustering_coefficient_mean,0.009155321370687959
2-up_adjacency-0_spectral_radius_mean,0.008595659582476375
down_adjacency-2_dirichlet_energy_mean,0.008458631379365963
down_adjacency-1_dirichlet_energy_mean,0.00816623016519744
2-down_incidence-2_dirichlet_energy_mean,0.007962790717569328
down_adjacency-2_spectral_radius_mean,0.007588022778989401
down_incidence-2_degree_assortativity_mean,0.007551037286161248
up_incidence-1_degree_assortativity_mean,0.007519681237862639
down_adjacency-2_spectral_gap_mean,0.007415538454646549
2-up_incidence-0_spectral_gap_mean,0.007357729445908144
2-down_adjacency-2_spectral_gap_mean,0.007355713151128561
2-up_adjacency-0_dirichlet_energy_mean,0.00731761565588653
2-down_adjacency-2_dirichlet_energy_mean,0.007015869706498925
2-down_adjacency-2_clustering_coefficient_mean,0.006904397940502571
up_adjacency-0_degree_assortativity_mean,0.006268890179811044
2-up_adjacency-0_degree_assortativity_mean,0.006254950958401447
down_incidence-2_effective_diameter_mean,0.005233569224339787
up_incidence-1_kirchhoff_index_mean,0.0051107025614255015
up_incidence-1_spectral_gap_mean,0.004757402858236727
2-up_incidence-0_spectral_radius_mean,0.004228606828950838
2-up_incidence-0_degree_assortativity_mean,0.004201683236098992
up_adjacency-1_effective_diameter_mean,0.004154886046369091
down_adjacency-2_kirchhoff_index_mean,0.003997665611849887
up_adjacency-1_degree_assortativity_mean,0.0034058819980345937
down_adjacency-2_clustering_coefficient_mean,0.0033709159951982605
down_adjacency-2_effective_diameter_mean,0.003055750911099254
2-down_adjacency-2_kirchhoff_index_mean,0.0029874932030846423
down_incidence-2_kirchhoff_index_mean,0.0029619888167101136
2-up_adjacency-0_kirchhoff_index_mean,0.0028969950687427783
up_adjacency-1_kirchhoff_index_mean,0.002645861159824278
2-down_incidence-2_effective_diameter_mean,0.0025584343570884444
up_adjacency-1_dirichlet_energy_mean,0.0024007674408109193
2-down_incidence-2_kirchhoff_index_mean,0.0020813360934568118
down_incidence-2_spectral_gap_mean,0.0018887124111318942
2-down_adjacency-2_effective_diameter_mean,0.001334102859483519
up_incidence-1_effective_diameter_mean,0.0013180905411663696
2-up_incidence-0_kirchhoff_index_mean,0.0010703460934264391
2-down_adjacency-2_degree_assortativity_mean,0.00017852640178173243
