Metric,Importance
up_incidence-0_effective_diameter_max,0.036241218706958706
down_adjacency-1_degree_assortativity_mean,0.03499631849621343
up_incidence-0_kirchhoff_index_max,0.023880831388934213
down_adjacency-1_degree_assortativity_max,0.02298338275398034
down_adjacency-1_effective_diameter_max,0.022965627633808158
down_adjacency-1_kirchhoff_index_max,0.022540587334158806
up_adjacency-0_clustering_coefficient_mean,0.021973335349275883
down_incidence-1_effective_diameter_max,0.021250786007313206
up_adjacency-0_dirichlet_energy_min,0.020836979818290392
up_adjacency-1_spectral_radius_min,0.020515897170591043
down_incidence-1_degree_assortativity_mean,0.02039079965379031
up_adjacency-0_effective_diameter_max,0.01998231824201977
up_adjacency-0_clustering_coefficient_max,0.01772166931651453
2-up_adjacency-0_spectral_gap_mean,0.017533405041428404
down_incidence-1_dirichlet_energy_mean,0.017474339137353585
up_incidence-0_dirichlet_energy_min,0.01605657944934972
up_incidence-0_degree_assortativity_mean,0.01563513225749906
up_adjacency-1_spectral_gap_mean,0.015349472940494215
down_incidence-1_spectral_gap_min,0.015133476338002968
down_adjacency-1_effective_diameter_mean,0.013864380440178757
up_adjacency-0_effective_diameter_mean,0.013025083175381966
up_adjacency-0_spectral_gap_mean,0.013010654541208349
up_adjacency-0_degree_assortativity_mean,0.011901182246912922
down_adjacency-1_clustering_coefficient_mean,0.011845629374918393
up_incidence-0_dirichlet_energy_mean,0.011290538374345911
up_adjacency-0_degree_assortativity_max,0.011105092704945968
up_incidence-0_spectral_gap_mean,0.01080330286321487
up_incidence-0_spectral_radius_mean,0.01022047818043749
up_adjacency-0_kirchhoff_index_max,0.010188409763106419
up_incidence-0_spectral_gap_min,0.009738659347901128
2-down_incidence-2_dirichlet_energy_min,0.009411116105595245
2-up_adjacency-0_clustering_coefficient_mean,0.009334521405881185
2-down_adjacency-2_degree_assortativity_max,0.009310891812493699
down_incidence-1_effective_diameter_mean,0.008940259057744959
down_adjacency-1_spectral_gap_mean,0.008775409120487285
up_incidence-1_dirichlet_energy_mean,0.00876316310438792
up_incidence-0_effective_diameter_mean,0.007736248721529235
2-down_incidence-2_degree_assortativity_max,0.007576722299732597
down_adjacency-1_spectral_radius_min,0.007576495711857938
2-down_incidence-2_spectral_radius_min,0.007080966674569677
down_adjacency-2_clustering_coefficient_mean,0.0069846789931026386
2-up_adjacency-0_clustering_coefficient_max,0.006847223904671515
down_incidence-1_kirchhoff_index_max,0.006756636159136853
down_incidence-2_spectral_radius_min,0.006654968456694864
down_adjacency-1_dirichlet_energy_max,0.006216010784864133
2-up_incidence-0_spectral_gap_min,0.006035575714251221
up_adjacency-0_spectral_radius_mean,0.005925880410715147
up_adjacency-1_effective_diameter_mean,0.005925560746564276
down_incidence-2_degree_assortativity_mean,0.005878908825646606
2-up_adjacency-0_degree_assortativity_max,0.005853619211913286
2-down_adjacency-2_spectral_radius_mean,0.005728304086048572
2-down_incidence-2_spectral_gap_mean,0.005726308315453354
2-down_incidence-2_dirichlet_energy_mean,0.005689000535781709
up_adjacency-0_degree_assortativity_min,0.005653785910004192
up_adjacency-0_kirchhoff_index_mean,0.005448270198755014
down_adjacency-2_degree_assortativity_max,0.005393024448478044
up_adjacency-0_spectral_gap_min,0.005384036816529464
2-up_incidence-0_dirichlet_energy_min,0.005225055998543699
down_incidence-1_dirichlet_energy_min,0.0052024655918235276
down_adjacency-2_spectral_radius_max,0.0051281850574564445
2-down_incidence-2_spectral_radius_mean,0.005049945838353808
2-up_incidence-0_spectral_gap_max,0.005033151696644279
up_incidence-1_spectral_radius_min,0.004926601773702323
down_incidence-1_spectral_radius_max,0.004872492245366414
up_incidence-1_spectral_gap_min,0.004634089212582506
down_adjacency-2_spectral_radius_mean,0.004570656376226476
2-up_incidence-0_spectral_gap_mean,0.00450520221425587
down_incidence-1_effective_diameter_min,0.0044926165452534375
2-down_adjacency-2_degree_assortativity_min,0.004491262325313394
down_incidence-1_degree_assortativity_max,0.0044465091754902885
down_incidence-1_kirchhoff_index_mean,0.004413382379842808
up_incidence-0_degree_assortativity_max,0.004363788546790692
up_incidence-1_effective_diameter_mean,0.004259099861736769
down_incidence-1_dirichlet_energy_max,0.00421144810549919
2-down_adjacency-2_kirchhoff_index_max,0.00420211803600772
down_adjacency-1_spectral_gap_min,0.004194550052467974
2-up_adjacency-0_effective_diameter_mean,0.004164270932810191
down_adjacency-2_dirichlet_energy_max,0.00414624331072709
down_incidence-2_spectral_gap_min,0.0040714045912379464
down_incidence-2_dirichlet_energy_min,0.004065759137386351
up_incidence-0_kirchhoff_index_mean,0.004027861062900167
up_adjacency-1_degree_assortativity_min,0.0040021364307319205
up_adjacency-1_clustering_coefficient_max,0.0038881135571522995
2-up_incidence-0_kirchhoff_index_mean,0.003839786444326909
down_adjacency-2_spectral_gap_min,0.0038048057808214132
2-up_incidence-0_dirichlet_energy_mean,0.0037580001044840773
up_incidence-1_spectral_radius_mean,0.003753032052289857
2-down_incidence-2_dirichlet_energy_max,0.0036874864490736227
down_incidence-1_spectral_radius_mean,0.003682232440765513
down_adjacency-2_clustering_coefficient_max,0.003652652753697849
up_incidence-1_degree_assortativity_mean,0.0036233651271640344
down_incidence-2_dirichlet_energy_max,0.003514454859534488
2-down_incidence-2_degree_assortativity_mean,0.003428112482783626
down_adjacency-2_kirchhoff_index_max,0.003406826627525819
down_adjacency-1_kirchhoff_index_mean,0.0031641249002150786
down_incidence-1_spectral_gap_mean,0.00311630265699881
2-up_incidence-0_degree_assortativity_max,0.003113767903655662
down_incidence-1_kirchhoff_index_min,0.003042245128813927
down_adjacency-1_spectral_radius_mean,0.0030419170217475433
up_adjacency-1_dirichlet_energy_mean,0.003030807886575706
up_adjacency-1_dirichlet_energy_max,0.002964517785617779
down_adjacency-2_degree_assortativity_mean,0.0029571919181918312
2-up_adjacency-0_dirichlet_energy_max,0.0029172746809169614
up_incidence-0_spectral_radius_max,0.002824911139541832
up_incidence-1_dirichlet_energy_max,0.002683342256099934
down_incidence-1_spectral_gap_max,0.0026489837096923276
2-up_adjacency-0_dirichlet_energy_mean,0.00264118558059059
2-down_incidence-2_kirchhoff_index_mean,0.0025079163537207534
up_incidence-1_dirichlet_energy_min,0.0024916007945289796
up_adjacency-1_spectral_radius_mean,0.0024733365410128817
up_incidence-1_spectral_gap_mean,0.002435072268479124
2-down_adjacency-2_effective_diameter_max,0.0024048336878459337
down_incidence-2_spectral_radius_max,0.002403786795038374
up_adjacency-1_effective_diameter_max,0.0024034531116032287
down_incidence-1_degree_assortativity_min,0.0022667834898378193
up_adjacency-0_spectral_radius_max,0.0022502341327444012
2-down_adjacency-2_spectral_gap_min,0.0021095451889479285
up_incidence-1_kirchhoff_index_max,0.0021079489194313237
down_incidence-2_spectral_radius_mean,0.0020950891577766685
down_adjacency-1_dirichlet_energy_mean,0.0020670617043225866
2-up_adjacency-0_kirchhoff_index_mean,0.0020145329323007144
2-down_adjacency-2_effective_diameter_mean,0.0020044285397771712
2-up_adjacency-0_spectral_radius_mean,0.001910733899991123
2-up_incidence-0_dirichlet_energy_max,0.0019020060823493996
down_adjacency-1_kirchhoff_index_min,0.0018767360982162714
down_incidence-2_effective_diameter_mean,0.001874715406259965
2-down_incidence-2_spectral_radius_max,0.0015786495877815785
2-down_incidence-2_effective_diameter_max,0.0014942888474534933
down_adjacency-1_clustering_coefficient_min,0.001478758374094374
up_adjacency-0_dirichlet_energy_mean,0.0014695214957517347
up_incidence-0_dirichlet_energy_max,0.0014296496961330861
down_adjacency-1_clustering_coefficient_max,0.0014206034764646135
down_adjacency-1_degree_assortativity_min,0.0013644633068668087
up_adjacency-1_kirchhoff_index_max,0.0013519245753945382
2-down_adjacency-2_degree_assortativity_mean,0.0013498757102160537
2-down_adjacency-2_kirchhoff_index_mean,0.0012959367764467196
up_incidence-1_kirchhoff_index_min,0.0012372957662113012
up_adjacency-1_degree_assortativity_mean,0.0011646332704792768
up_adjacency-0_kirchhoff_index_min,0.0011633183442660464
up_adjacency-1_clustering_coefficient_min,0.0011620160460264267
up_adjacency-0_dirichlet_energy_max,0.0011387567061258274
2-down_adjacency-2_dirichlet_energy_mean,0.0011109316378729254
2-up_incidence-0_spectral_radius_min,0.0010741801288686056
2-down_incidence-2_kirchhoff_index_max,0.0010689380634330398
2-up_incidence-0_effective_diameter_mean,0.001061257025540738
2-down_adjacency-2_clustering_coefficient_mean,0.0010052277913050458
down_incidence-2_spectral_gap_mean,0.0009464764658516874
2-down_incidence-2_degree_assortativity_min,0.0009296897813341977
2-up_incidence-0_spectral_radius_mean,0.0008927864851360767
down_incidence-2_kirchhoff_index_mean,0.0008764054897273997
down_adjacency-1_dirichlet_energy_min,0.0008074267619374515
2-up_incidence-0_spectral_radius_max,0.0007164152163077201
2-down_incidence-2_kirchhoff_index_min,0.0006878413371770947
down_incidence-1_spectral_radius_min,0.0006713493173673919
up_incidence-1_spectral_gap_max,0.0006222684676698941
up_incidence-1_spectral_radius_max,0.000610710732606237
up_incidence-0_degree_assortativity_min,0.0005886127817285918
up_adjacency-1_spectral_gap_max,0.0005722137282545485
down_adjacency-2_spectral_radius_min,0.0005555664549241847
2-up_adjacency-0_degree_assortativity_mean,0.000551895681481934
up_incidence-1_effective_diameter_min,0.0005438599950643331
down_adjacency-2_effective_diameter_mean,0.0005400776425744254
up_adjacency-1_clustering_coefficient_mean,0.0005324668670010479
2-down_incidence-2_spectral_gap_max,0.0005308077839489228
up_incidence-0_spectral_gap_max,0.0005165137871406239
2-down_adjacency-2_dirichlet_energy_max,0.0004781213089092098
up_adjacency-1_effective_diameter_min,0.00047543043447459616
2-down_incidence-2_effective_diameter_mean,0.00043829501818473595
2-down_adjacency-2_kirchhoff_index_min,0.0004310655106643754
down_adjacency-1_spectral_radius_max,0.0004298052136175603
2-down_adjacency-2_spectral_radius_max,0.00042736499957587645
down_incidence-2_dirichlet_energy_mean,0.00041275041787944007
down_adjacency-2_degree_assortativity_min,0.0003959095425784104
up_adjacency-1_degree_assortativity_max,0.00032771367876257814
up_adjacency-0_clustering_coefficient_min,0.0003262086993104616
2-up_adjacency-0_spectral_gap_min,0.0003241751672802172
down_incidence-2_kirchhoff_index_min,0.00029896009297503893
up_incidence-1_degree_assortativity_min,0.00029086384505506524
2-up_adjacency-0_kirchhoff_index_max,0.00028313458546818743
2-up_adjacency-0_spectral_radius_min,0.00028257712958407703
2-up_adjacency-0_spectral_gap_max,0.0002640747100405364
up_incidence-1_degree_assortativity_max,0.0002501366566794472
up_adjacency-1_spectral_gap_min,0.0002117578157556272
2-down_adjacency-2_spectral_gap_mean,0.0002039276919523528
up_incidence-1_kirchhoff_index_mean,0.00018770865671581302
down_adjacency-2_spectral_gap_max,0.0001769263900444031
2-up_adjacency-0_spectral_radius_max,0.0001744820031387053
2-up_adjacency-0_degree_assortativity_min,0.00016402930925290657
2-down_adjacency-2_spectral_gap_max,0.00016314957174565578
down_adjacency-1_spectral_gap_max,0.0001467880393076627
down_incidence-2_spectral_gap_max,0.00014371731589226086
up_adjacency-1_kirchhoff_index_mean,0.00012974589379908207
up_incidence-0_spectral_radius_min,0.00011540415139026776
down_incidence-2_degree_assortativity_min,0.0001121223893116521
up_adjacency-0_effective_diameter_min,8.937981220586825e-05
up_adjacency-0_spectral_gap_max,8.321509642108472e-05
down_adjacency-2_dirichlet_energy_mean,5.225312554812268e-05
down_adjacency-2_kirchhoff_index_mean,4.6485889479754865e-05
