Metric,Importance
2-down_incidence-2_dirichlet_energy_mean,0.041308858803461614
down_incidence-1_effective_diameter_max,0.03560506128917166
down_incidence-2_spectral_radius_mean,0.03550710694434614
up_adjacency-0_effective_diameter_max,0.029508994303559
up_incidence-0_effective_diameter_max,0.02742697930079699
up_incidence-0_kirchhoff_index_max,0.026409874944328823
down_incidence-2_dirichlet_energy_mean,0.02387738760455966
down_adjacency-1_degree_assortativity_max,0.023180287765635993
down_adjacency-1_effective_diameter_max,0.02224378503835838
down_adjacency-1_degree_assortativity_mean,0.020288033623669224
2-up_adjacency-0_clustering_coefficient_mean,0.01926759993564421
down_adjacency-1_kirchhoff_index_max,0.019099927314570872
up_adjacency-0_effective_diameter_mean,0.019067800292426766
up_adjacency-0_spectral_gap_max,0.019022306764676717
down_incidence-1_spectral_gap_min,0.017444398477346773
down_adjacency-1_clustering_coefficient_mean,0.016522477323367223
down_incidence-1_spectral_gap_max,0.01608839071975686
down_adjacency-1_kirchhoff_index_min,0.013687775636901265
down_adjacency-1_dirichlet_energy_min,0.012437412205392646
up_adjacency-0_degree_assortativity_mean,0.012064084418336476
up_incidence-0_dirichlet_energy_mean,0.011668158405692209
up_adjacency-1_spectral_radius_mean,0.011561622654165932
down_incidence-1_kirchhoff_index_mean,0.010286806476748378
down_adjacency-1_spectral_gap_max,0.010139429950456474
down_incidence-1_kirchhoff_index_max,0.01001533031497221
up_adjacency-1_dirichlet_energy_mean,0.009859718530454118
down_incidence-2_dirichlet_energy_min,0.009791991263897687
up_adjacency-0_spectral_radius_max,0.009671934286882988
down_adjacency-1_spectral_gap_min,0.009623644598265904
down_adjacency-2_spectral_radius_mean,0.009589562702530877
2-down_incidence-2_dirichlet_energy_max,0.009510888387001825
down_incidence-1_dirichlet_energy_max,0.009046626826808256
up_adjacency-1_kirchhoff_index_min,0.008944689489787168
down_adjacency-1_effective_diameter_mean,0.008698436341616721
2-up_adjacency-0_spectral_radius_mean,0.008661336574663227
up_adjacency-0_clustering_coefficient_mean,0.008625623881756632
up_incidence-0_effective_diameter_mean,0.008456394813907133
down_incidence-1_effective_diameter_mean,0.008173357416208065
2-up_adjacency-0_dirichlet_energy_mean,0.007981264074981714
up_adjacency-0_kirchhoff_index_mean,0.007977220884772181
down_adjacency-1_kirchhoff_index_mean,0.007953281630009875
up_incidence-0_dirichlet_energy_min,0.007851629408175438
down_adjacency-1_effective_diameter_min,0.007793480994509061
2-up_incidence-0_effective_diameter_max,0.007762845737995125
down_incidence-1_spectral_gap_mean,0.007702923256129447
2-up_adjacency-0_spectral_gap_max,0.007471453176447548
up_incidence-1_degree_assortativity_mean,0.006831026576066802
up_adjacency-0_dirichlet_energy_max,0.006821392618340673
down_incidence-1_degree_assortativity_min,0.00681508634916634
up_incidence-0_degree_assortativity_mean,0.006748535952000356
down_adjacency-1_dirichlet_energy_mean,0.00666145875494087
2-down_incidence-2_kirchhoff_index_mean,0.00665900270687971
up_adjacency-0_kirchhoff_index_min,0.006501222818487557
down_adjacency-1_clustering_coefficient_max,0.006472210230826139
up_adjacency-0_effective_diameter_min,0.006264975557366206
down_incidence-2_dirichlet_energy_max,0.00607414476909228
up_adjacency-0_spectral_gap_mean,0.006065335657889779
down_incidence-2_spectral_radius_max,0.005907114254080679
up_incidence-0_spectral_radius_min,0.005891805924191854
2-up_adjacency-0_spectral_gap_mean,0.005794002205070403
2-up_incidence-0_effective_diameter_min,0.00565532132660512
up_incidence-1_degree_assortativity_max,0.005619666060869663
2-up_incidence-0_degree_assortativity_mean,0.005307156721984615
up_incidence-0_spectral_gap_mean,0.005283249660240327
down_adjacency-1_spectral_radius_mean,0.005209460508413766
up_adjacency-0_degree_assortativity_min,0.005207735411266822
2-up_incidence-0_spectral_radius_min,0.005141910872692115
up_adjacency-1_clustering_coefficient_mean,0.005131052675399301
up_incidence-0_kirchhoff_index_mean,0.005082544491889412
up_adjacency-0_dirichlet_energy_mean,0.00504746095017579
up_incidence-1_spectral_gap_max,0.005029475480677261
up_incidence-0_spectral_gap_max,0.005
2-up_incidence-0_spectral_radius_mean,0.004914168018914639
up_incidence-0_degree_assortativity_min,0.004906595833231621
up_adjacency-1_effective_diameter_min,0.004859470968552859
up_incidence-1_effective_diameter_max,0.004852461654299439
2-up_incidence-0_dirichlet_energy_max,0.004800360292599193
up_adjacency-1_effective_diameter_max,0.004770178155861776
up_adjacency-1_clustering_coefficient_min,0.004745792270059737
up_incidence-1_effective_diameter_min,0.004729227373361816
down_incidence-2_spectral_radius_min,0.004720054625593024
up_adjacency-1_kirchhoff_index_max,0.004699985255342311
down_incidence-2_kirchhoff_index_mean,0.00465508806077231
up_adjacency-0_kirchhoff_index_max,0.004654337799265156
2-up_adjacency-0_kirchhoff_index_max,0.004640091796808781
2-up_incidence-0_effective_diameter_mean,0.004632329138335901
up_adjacency-1_spectral_gap_mean,0.004630141443655824
down_adjacency-2_spectral_radius_max,0.004621113594102324
up_adjacency-1_spectral_radius_min,0.004579106270219121
down_incidence-2_spectral_gap_mean,0.004520203042191048
2-down_adjacency-2_spectral_radius_max,0.004489673607802591
up_adjacency-1_dirichlet_energy_max,0.004435021171529512
up_adjacency-0_spectral_radius_mean,0.0043816499795392575
2-up_incidence-0_spectral_gap_max,0.004256632111027414
down_incidence-1_dirichlet_energy_mean,0.0041031325721194
down_incidence-1_degree_assortativity_mean,0.004092885745919321
up_adjacency-1_kirchhoff_index_mean,0.0040482601080510765
up_adjacency-0_degree_assortativity_max,0.003926892806403385
up_incidence-1_dirichlet_energy_min,0.0033515843497489263
up_adjacency-0_clustering_coefficient_max,0.0032335715825113063
down_incidence-1_spectral_radius_mean,0.002743829789377925
up_incidence-0_degree_assortativity_max,0.002736764919642134
2-up_adjacency-0_dirichlet_energy_max,0.002576361955487401
up_incidence-1_kirchhoff_index_mean,0.0024032519066704006
down_adjacency-1_dirichlet_energy_max,0.0023093990827237083
down_adjacency-1_spectral_gap_mean,0.0022631739287012707
up_adjacency-1_clustering_coefficient_max,0.0019121605818254318
down_adjacency-1_spectral_radius_min,0.0017672894253442767
down_incidence-2_effective_diameter_max,0.0016824544421333376
2-up_incidence-0_kirchhoff_index_max,0.001203068070316764
up_adjacency-0_spectral_gap_min,0.0010243592943682297
down_incidence-1_spectral_radius_max,0.0010234685472319451
2-up_incidence-0_degree_assortativity_min,0.0009534089207968663
2-down_incidence-2_spectral_radius_mean,0.000945024628494896
down_incidence-1_effective_diameter_min,0.0008875308289587584
2-up_incidence-0_kirchhoff_index_min,0.0008323068320310961
up_incidence-1_dirichlet_energy_max,0.0007389613395904309
2-up_incidence-0_spectral_gap_mean,0.0006837365767341284
2-down_incidence-2_spectral_radius_max,0.0006423081266062208
2-down_adjacency-2_clustering_coefficient_min,0.0006227841054352604
up_incidence-0_effective_diameter_min,0.000618350020460743
down_adjacency-1_clustering_coefficient_min,0.0005490399789204371
up_incidence-1_spectral_gap_mean,0.000542537827531486
2-up_incidence-0_kirchhoff_index_mean,0.0005208033951148054
up_incidence-1_spectral_radius_mean,0.00048685446025475737
up_incidence-1_kirchhoff_index_min,0.000458166432191049
2-down_incidence-2_spectral_radius_min,0.000447996137615634
2-down_adjacency-2_spectral_radius_min,0.0003594131102402457
down_incidence-2_degree_assortativity_mean,0.00035772918880272507
down_incidence-2_degree_assortativity_max,0.00034162402672264646
2-up_adjacency-0_clustering_coefficient_max,0.00032640647098559753
down_incidence-1_spectral_radius_min,0.00031430775469498256
down_incidence-1_kirchhoff_index_min,0.00030133012457143475
down_adjacency-2_spectral_radius_min,0.0002882784362880559
up_incidence-0_spectral_radius_mean,0.00026774612415990715
2-up_adjacency-0_spectral_gap_min,0.000255162634772514
up_incidence-0_dirichlet_energy_max,0.00022419121726323935
2-down_incidence-2_degree_assortativity_max,0.00018965380488169278
2-down_adjacency-2_spectral_radius_mean,0.0001887006565494124
down_incidence-1_dirichlet_energy_min,0.00015034163500080597
2-up_incidence-0_degree_assortativity_max,0.0001463265758175156
up_incidence-1_kirchhoff_index_max,0.00012606968999120282
2-down_incidence-2_kirchhoff_index_max,8.28573477530448e-05
2-up_incidence-0_dirichlet_energy_mean,8.054234293721877e-05
2-down_incidence-2_spectral_gap_max,7.269829622327002e-05
up_adjacency-0_spectral_radius_min,6.760602087051188e-07
