Metric,Importance
down_adjacency-1_degree_assortativity_mean,0.03259711613485798
2-down_incidence-2_spectral_gap_mean,0.02736296424684285
2-down_incidence-2_effective_diameter_min,0.020575137554056187
down_adjacency-1_degree_assortativity_max,0.020345262607569938
up_adjacency-1_spectral_gap_mean,0.01854517943093004
down_incidence-1_effective_diameter_max,0.017040733450842314
up_incidence-0_kirchhoff_index_mean,0.016860327643135168
down_incidence-1_spectral_radius_mean,0.016107275326544945
up_adjacency-0_degree_assortativity_max,0.015129597948776486
up_incidence-0_spectral_radius_mean,0.014189722628078787
up_incidence-0_effective_diameter_max,0.014009299014725873
up_adjacency-0_effective_diameter_mean,0.013218148277718882
2-up_incidence-0_effective_diameter_mean,0.013152236719746973
down_adjacency-1_effective_diameter_max,0.012958892964202409
up_incidence-1_degree_assortativity_min,0.012815083106995202
2-down_adjacency-2_spectral_radius_mean,0.012678348123124067
up_incidence-0_kirchhoff_index_max,0.012302830111366398
up_adjacency-1_clustering_coefficient_min,0.012161127648513959
2-down_adjacency-2_degree_assortativity_min,0.011976115163680775
down_incidence-1_degree_assortativity_max,0.011959012583149586
up_incidence-1_spectral_radius_max,0.011570157482087673
2-up_adjacency-0_spectral_gap_max,0.011196456844156894
2-up_adjacency-0_spectral_gap_mean,0.011098741166130615
down_incidence-1_spectral_gap_mean,0.0104985046457299
down_incidence-2_spectral_gap_max,0.01034188280288116
down_incidence-2_degree_assortativity_min,0.010160889933079635
down_incidence-2_spectral_gap_min,0.010157574553653757
2-down_incidence-2_spectral_radius_mean,0.0098737230779608
down_adjacency-1_dirichlet_energy_min,0.00985200973738829
down_adjacency-1_kirchhoff_index_mean,0.009824040159534017
down_incidence-1_effective_diameter_mean,0.009483132416423757
2-down_adjacency-2_kirchhoff_index_min,0.009375227167785001
2-up_incidence-0_spectral_radius_min,0.009354625944288148
2-up_incidence-0_spectral_gap_mean,0.009343705759037335
down_incidence-2_spectral_radius_mean,0.009229089918576872
2-down_incidence-2_dirichlet_energy_min,0.009011429198320275
down_adjacency-2_spectral_radius_mean,0.008933099523761666
2-up_incidence-0_spectral_gap_min,0.008915475185777318
up_incidence-0_dirichlet_energy_mean,0.008547828410812195
down_adjacency-1_kirchhoff_index_max,0.008441027606299096
up_incidence-0_dirichlet_energy_min,0.008164241713485213
down_incidence-2_dirichlet_energy_min,0.008160596999842564
down_adjacency-1_clustering_coefficient_min,0.008158244338959255
2-down_adjacency-2_clustering_coefficient_min,0.007838969913975908
down_adjacency-2_clustering_coefficient_min,0.007797795806370353
up_adjacency-1_clustering_coefficient_mean,0.00744559293415945
down_adjacency-1_spectral_gap_max,0.007376034004070557
up_adjacency-1_kirchhoff_index_min,0.007324034783242038
2-up_adjacency-0_clustering_coefficient_min,0.007226430685010345
