Metric,Importance
2-up_incidence-0_spectral_gap_mean,0.0741697298551435
2-down_incidence-2_spectral_gap_mean,0.07383593378361666
2-up_adjacency-0_spectral_gap_mean,0.07044918348335498
up_adjacency-1_spectral_gap_mean,0.052638635920846256
down_adjacency-1_degree_assortativity_mean,0.03530108974442579
up_incidence-1_degree_assortativity_mean,0.03495451139452622
2-up_adjacency-0_dirichlet_energy_mean,0.028180183063854808
down_adjacency-1_clustering_coefficient_mean,0.026002814565182778
down_adjacency-1_effective_diameter_mean,0.02384128864429363
down_adjacency-2_degree_assortativity_mean,0.023207998725440406
down_adjacency-1_kirchhoff_index_mean,0.022708414460489133
2-up_incidence-0_effective_diameter_mean,0.01935657948791667
2-up_adjacency-0_clustering_coefficient_mean,0.019047875985552076
2-up_incidence-0_spectral_radius_mean,0.019009744526884503
down_incidence-1_kirchhoff_index_mean,0.018825293964465025
2-down_adjacency-2_clustering_coefficient_mean,0.018506771612572
up_incidence-0_degree_assortativity_mean,0.017699509242464086
up_adjacency-1_spectral_radius_mean,0.017137106253656668
up_adjacency-0_clustering_coefficient_mean,0.016869001536583675
up_adjacency-0_effective_diameter_mean,0.01596996558304237
up_adjacency-1_degree_assortativity_mean,0.0157993269052025
up_incidence-0_spectral_gap_mean,0.015487655488236376
down_incidence-2_dirichlet_energy_mean,0.01454852568721892
up_adjacency-1_dirichlet_energy_mean,0.013998639828026098
2-down_adjacency-2_dirichlet_energy_mean,0.013993705937673715
2-down_adjacency-2_spectral_radius_mean,0.013658305300670012
2-down_incidence-2_spectral_radius_mean,0.013333869683461043
up_incidence-0_kirchhoff_index_mean,0.012255153443988562
down_adjacency-1_spectral_gap_mean,0.012019651992968314
2-up_adjacency-0_kirchhoff_index_mean,0.010246878884755553
up_adjacency-0_dirichlet_energy_mean,0.010192633448966532
up_adjacency-1_kirchhoff_index_mean,0.010176443591840032
down_incidence-1_spectral_gap_mean,0.010064791551560308
up_incidence-0_effective_diameter_mean,0.00988747181296251
2-up_adjacency-0_degree_assortativity_mean,0.00968997241744352
up_adjacency-0_spectral_gap_mean,0.009334169700532751
up_adjacency-0_degree_assortativity_mean,0.009291952925188389
up_adjacency-0_kirchhoff_index_mean,0.008591178719521813
2-down_incidence-2_dirichlet_energy_mean,0.008543721440818785
2-down_incidence-2_degree_assortativity_mean,0.008352639048378208
up_incidence-1_spectral_gap_mean,0.00829968628875175
up_incidence-0_spectral_radius_mean,0.008226354233739859
down_incidence-1_spectral_radius_mean,0.007771293635059498
down_adjacency-1_spectral_radius_mean,0.0063903554765407065
2-up_incidence-0_degree_assortativity_mean,0.006342690596239625
down_incidence-2_degree_assortativity_mean,0.006200191458532392
down_adjacency-1_dirichlet_energy_mean,0.006040280648266044
up_adjacency-0_spectral_radius_mean,0.005932798325526152
down_incidence-1_degree_assortativity_mean,0.005754641784990723
2-down_adjacency-2_effective_diameter_mean,0.0056400024142383084
down_incidence-2_spectral_radius_mean,0.005487726636977509
2-down_adjacency-2_degree_assortativity_mean,0.005466326598964034
down_adjacency-2_dirichlet_energy_mean,0.005460189702733467
up_incidence-1_effective_diameter_mean,0.005421713867066458
2-up_adjacency-0_spectral_radius_mean,0.005320941349637351
down_adjacency-2_clustering_coefficient_mean,0.0052669485365379395
down_incidence-2_effective_diameter_mean,0.005
2-up_adjacency-0_effective_diameter_mean,0.004962220093526693
2-up_incidence-0_kirchhoff_index_mean,0.004506673068000397
up_adjacency-1_effective_diameter_mean,0.004443101175853435
up_incidence-1_kirchhoff_index_mean,0.0044193405415870165
down_adjacency-2_effective_diameter_mean,0.0040420980140866555
down_incidence-2_spectral_gap_mean,0.003311763717198339
2-down_adjacency-2_spectral_gap_mean,0.003271679385326627
2-up_incidence-0_dirichlet_energy_mean,0.0030473918596278203
up_incidence-0_dirichlet_energy_mean,0.0020949239499278593
down_adjacency-2_spectral_gap_mean,0.0012252640996932714
down_incidence-1_dirichlet_energy_mean,0.0008955552926540258
down_incidence-2_kirchhoff_index_mean,0.0007140203592679907
up_incidence-1_dirichlet_energy_mean,0.0006110812291799135
2-down_adjacency-2_kirchhoff_index_mean,0.0003686513251004546
down_adjacency-2_spectral_radius_mean,0.00031688345550895543
down_adjacency-2_kirchhoff_index_mean,0.0002188677067129494
2-down_incidence-2_effective_diameter_mean,0.00016774546950252563
up_adjacency-1_clustering_coefficient_mean,9.350814670783998e-05
2-down_incidence-2_kirchhoff_index_mean,8.87699130102117e-05
