Metric,Importance
down_incidence-1_effective_diameter_max,0.03431001130376063
2-down_incidence-2_spectral_gap_mean,0.03180909420594074
up_incidence-0_effective_diameter_max,0.029396643416461896
up_incidence-1_spectral_gap_min,0.028549365194026923
up_incidence-0_kirchhoff_index_max,0.02775967653272409
2-up_adjacency-0_spectral_gap_min,0.024272429656944584
2-up_adjacency-0_kirchhoff_index_max,0.020679312694146797
up_adjacency-1_spectral_gap_mean,0.020150660518894196
up_adjacency-0_effective_diameter_max,0.019649257091176785
down_adjacency-2_spectral_radius_mean,0.018965130660132376
up_adjacency-0_degree_assortativity_max,0.018592137067583822
down_adjacency-1_degree_assortativity_max,0.018126466006516212
down_incidence-2_spectral_gap_min,0.018088488728284308
down_adjacency-1_effective_diameter_max,0.017858945583009746
2-up_incidence-0_spectral_gap_mean,0.017170774546499276
down_adjacency-1_degree_assortativity_mean,0.01682678480273658
down_adjacency-1_clustering_coefficient_mean,0.015046891816913426
up_incidence-1_spectral_radius_max,0.014770045105399563
2-up_incidence-0_spectral_radius_max,0.014583668751118323
2-up_incidence-0_spectral_gap_min,0.014504653627980323
2-up_incidence-0_kirchhoff_index_max,0.014433788212902737
down_incidence-1_kirchhoff_index_max,0.01378167739336913
up_incidence-0_kirchhoff_index_mean,0.013607272298211124
2-up_adjacency-0_spectral_gap_mean,0.013480963943971268
up_adjacency-0_dirichlet_energy_max,0.010724486068838114
up_adjacency-1_spectral_radius_max,0.01061896394205037
up_adjacency-0_kirchhoff_index_max,0.010555783564421413
up_adjacency-0_effective_diameter_mean,0.010481204595127427
down_incidence-2_spectral_radius_max,0.010390317828436442
down_adjacency-1_kirchhoff_index_max,0.009915209258371327
2-up_adjacency-0_spectral_gap_max,0.009535368917364279
2-up_incidence-0_spectral_gap_max,0.009512992441784466
up_adjacency-1_spectral_radius_min,0.009324155431891797
down_adjacency-1_kirchhoff_index_min,0.009312810150514845
2-up_adjacency-0_spectral_radius_max,0.00924273799126011
down_incidence-2_effective_diameter_min,0.009212221683184751
2-down_incidence-2_effective_diameter_min,0.009189602971666804
down_adjacency-1_dirichlet_energy_min,0.009002814297344034
up_incidence-0_spectral_gap_min,0.008945881342488608
up_adjacency-1_clustering_coefficient_min,0.008839097084289593
down_adjacency-2_kirchhoff_index_min,0.008762015798132662
2-down_adjacency-2_clustering_coefficient_min,0.008327126762255107
2-down_adjacency-2_kirchhoff_index_min,0.00774102658720097
2-down_adjacency-2_spectral_radius_min,0.007218330370464432
down_adjacency-1_effective_diameter_mean,0.006353331080667809
down_adjacency-2_degree_assortativity_min,0.005952559005132966
2-down_adjacency-2_dirichlet_energy_mean,0.0058754989110181895
down_incidence-2_dirichlet_energy_mean,0.005729729432515018
up_adjacency-0_dirichlet_energy_mean,0.005727035249946586
2-down_adjacency-2_effective_diameter_mean,0.005710152916858752
down_incidence-2_kirchhoff_index_max,0.0056898963606855065
down_adjacency-2_spectral_gap_min,0.0053905371218454035
up_adjacency-0_clustering_coefficient_mean,0.005380250989619072
up_incidence-0_spectral_radius_min,0.005308018592795034
down_adjacency-2_spectral_radius_min,0.005275757502353937
up_adjacency-1_degree_assortativity_max,0.005247827883522399
2-down_incidence-2_effective_diameter_max,0.005236361915749934
2-up_incidence-0_degree_assortativity_max,0.005225470208440478
down_adjacency-1_spectral_gap_min,0.005176038206249744
2-up_adjacency-0_dirichlet_energy_max,0.005152840061456633
down_incidence-1_spectral_radius_min,0.005148093542673625
2-down_adjacency-2_degree_assortativity_mean,0.005105483473553294
up_incidence-1_dirichlet_energy_max,0.005093880654809646
2-up_adjacency-0_clustering_coefficient_mean,0.005092256259712278
down_incidence-2_spectral_gap_max,0.005011487933935723
down_incidence-1_degree_assortativity_max,0.00500500618573645
2-up_incidence-0_degree_assortativity_mean,0.005
up_adjacency-1_kirchhoff_index_min,0.005
up_adjacency-0_kirchhoff_index_mean,0.005
down_incidence-2_dirichlet_energy_min,0.005
down_adjacency-1_spectral_gap_max,0.005
down_incidence-2_degree_assortativity_mean,0.005
2-up_incidence-0_effective_diameter_max,0.004930703248277447
down_incidence-2_spectral_radius_min,0.004924808925963708
2-up_incidence-0_degree_assortativity_min,0.004852120334141567
up_adjacency-1_spectral_gap_min,0.004836034035279619
up_incidence-1_dirichlet_energy_mean,0.004811200698842574
2-up_incidence-0_spectral_radius_mean,0.004791847827307783
down_incidence-1_spectral_gap_min,0.004780815440582464
down_adjacency-2_degree_assortativity_mean,0.004778916180899
down_adjacency-1_kirchhoff_index_mean,0.004769123768696774
up_incidence-0_effective_diameter_min,0.004725088847192993
up_adjacency-0_clustering_coefficient_min,0.0047198723551386025
2-down_adjacency-2_kirchhoff_index_max,0.004713072795603768
down_adjacency-1_spectral_radius_min,0.004673408416836922
2-down_incidence-2_spectral_radius_max,0.004636602239616956
up_incidence-0_dirichlet_energy_max,0.004546486921975224
down_adjacency-1_dirichlet_energy_max,0.0045459087297374835
up_adjacency-0_spectral_radius_mean,0.004524042730449188
2-up_adjacency-0_degree_assortativity_max,0.0044971619035096945
