Metric,Importance
up_adjacency-1_clustering_coefficient_mean,0.09086807785843612
2-up_adjacency-0_clustering_coefficient_mean,0.05323815044991656
2-down_incidence-2_spectral_gap_mean,0.03315754114724912
down_incidence-2_dirichlet_energy_mean,0.029878760258014638
2-down_adjacency-2_dirichlet_energy_mean,0.02738865254569607
down_incidence-1_spectral_gap_mean,0.02649711744870854
down_incidence-2_effective_diameter_mean,0.025252525252525252
down_incidence-2_spectral_gap_mean,0.024782011054468592
up_adjacency-1_degree_assortativity_mean,0.022580374634018026
down_adjacency-2_degree_assortativity_mean,0.0223116857465908
up_adjacency-0_kirchhoff_index_mean,0.021395955511770048
up_incidence-0_kirchhoff_index_mean,0.021163660887528715
2-down_adjacency-2_kirchhoff_index_mean,0.020202020202020204
up_incidence-1_spectral_gap_mean,0.019534466726032606
down_adjacency-2_clustering_coefficient_mean,0.019442013468247806
up_incidence-0_degree_assortativity_mean,0.01808432578589186
up_incidence-1_spectral_radius_mean,0.017975751028765943
down_adjacency-1_kirchhoff_index_mean,0.017440717412554575
down_adjacency-2_dirichlet_energy_mean,0.016214722442069035
up_adjacency-0_spectral_gap_mean,0.01614197459158687
down_incidence-1_kirchhoff_index_mean,0.01572206630520689
2-down_adjacency-2_clustering_coefficient_mean,0.015391742954936477
down_incidence-2_spectral_radius_mean,0.015262898178395188
down_incidence-2_degree_assortativity_mean,0.014901374762299127
up_adjacency-1_spectral_radius_mean,0.014617405332649852
down_adjacency-2_spectral_gap_mean,0.014506704741847046
up_incidence-0_spectral_radius_mean,0.01446665019314501
down_adjacency-2_spectral_radius_mean,0.014413722778017276
2-up_incidence-0_spectral_radius_mean,0.014259926108992961
down_adjacency-1_spectral_gap_mean,0.013356656702820643
down_incidence-2_kirchhoff_index_mean,0.013081858415396984
2-up_adjacency-0_spectral_radius_mean,0.012136776404978709
down_adjacency-1_spectral_radius_mean,0.011975053186702068
2-down_adjacency-2_spectral_radius_mean,0.011479799120300125
down_incidence-1_degree_assortativity_mean,0.011153286253527326
down_incidence-1_spectral_radius_mean,0.011104895134369628
2-up_adjacency-0_dirichlet_energy_mean,0.011050067261918149
2-up_incidence-0_degree_assortativity_mean,0.010982269313969218
2-down_incidence-2_dirichlet_energy_mean,0.010837877305692252
2-down_incidence-2_degree_assortativity_mean,0.010204611563095163
down_adjacency-1_dirichlet_energy_mean,0.010101010101010102
up_adjacency-1_effective_diameter_mean,0.010101010101010102
down_adjacency-2_effective_diameter_mean,0.010101010101010102
up_adjacency-1_dirichlet_energy_mean,0.010101010101010102
up_incidence-1_kirchhoff_index_mean,0.010101010101010102
2-up_incidence-0_spectral_gap_mean,0.010050168957918982
2-down_adjacency-2_spectral_gap_mean,0.009378029377065411
up_adjacency-0_effective_diameter_mean,0.008075991202114328
up_incidence-1_degree_assortativity_mean,0.008022375427903045
down_incidence-1_effective_diameter_mean,0.0074414364095693065
2-up_incidence-0_kirchhoff_index_mean,0.007296284650899656
2-down_incidence-2_spectral_radius_mean,0.007269804078405285
up_adjacency-0_clustering_coefficient_mean,0.007016805814746807
down_adjacency-1_clustering_coefficient_mean,0.006901077942591148
2-down_adjacency-2_degree_assortativity_mean,0.005828072944985812
up_adjacency-1_spectral_gap_mean,0.005788033355804816
2-up_incidence-0_dirichlet_energy_mean,0.005567728344704337
down_incidence-1_dirichlet_energy_mean,0.0052691259644854225
up_incidence-1_dirichlet_energy_mean,0.005050505050505051
2-up_adjacency-0_degree_assortativity_mean,0.005050505050505051
down_adjacency-1_degree_assortativity_mean,0.005050505050505051
2-up_incidence-0_effective_diameter_mean,0.005050505050505051
up_incidence-0_effective_diameter_mean,0.005050505050505051
2-down_incidence-2_kirchhoff_index_mean,0.005050505050505051
up_adjacency-1_kirchhoff_index_mean,0.00495877224981681
2-up_adjacency-0_spectral_gap_mean,0.004342828440943465
2-down_incidence-2_effective_diameter_mean,0.004203500661887389
up_adjacency-0_degree_assortativity_mean,0.004048763460762752
down_adjacency-1_effective_diameter_mean,0.0019553494988798505
2-up_adjacency-0_kirchhoff_index_mean,0.001321623938083095
