Metric,Importance
2-up_adjacency-0_dirichlet_energy_mean,0.05205721540917365
2-down_incidence-2_spectral_gap_mean,0.041621936014420165
down_adjacency-1_degree_assortativity_mean,0.04073613259568527
up_incidence-1_degree_assortativity_mean,0.03506180229612719
up_adjacency-0_effective_diameter_mean,0.03348069275969966
down_adjacency-1_spectral_gap_mean,0.02993540689717587
up_adjacency-0_clustering_coefficient_mean,0.029195585513279304
up_adjacency-1_dirichlet_energy_mean,0.027959390690967548
up_incidence-0_spectral_gap_mean,0.027419199139262572
2-up_adjacency-0_clustering_coefficient_mean,0.025692312367789984
down_adjacency-1_clustering_coefficient_mean,0.02548167133317636
down_adjacency-2_spectral_gap_mean,0.02537288472106657
down_incidence-1_spectral_gap_mean,0.02458166782853948
up_adjacency-1_clustering_coefficient_mean,0.023854614195056995
down_incidence-1_degree_assortativity_mean,0.02319078525199525
up_adjacency-1_spectral_gap_mean,0.02243115508517883
up_incidence-0_degree_assortativity_mean,0.021813426929988715
down_incidence-1_kirchhoff_index_mean,0.021748174160503442
2-up_adjacency-0_spectral_gap_mean,0.021623913435467754
up_incidence-0_kirchhoff_index_mean,0.02135434477583342
2-down_adjacency-2_spectral_gap_mean,0.01998620594363233
2-down_adjacency-2_clustering_coefficient_mean,0.019317302415563738
up_incidence-0_spectral_radius_mean,0.018435387156311024
down_adjacency-1_spectral_radius_mean,0.01758498218999038
down_incidence-1_spectral_radius_mean,0.016462369885428416
2-down_incidence-2_spectral_radius_mean,0.016404092450766846
down_incidence-2_degree_assortativity_mean,0.015407299466213296
down_adjacency-1_effective_diameter_mean,0.015297485005450221
up_incidence-0_effective_diameter_mean,0.014889074820270815
2-up_incidence-0_spectral_gap_mean,0.014261590685181198
2-down_adjacency-2_spectral_radius_mean,0.013255137145029034
down_adjacency-1_dirichlet_energy_mean,0.013129669516803508
up_adjacency-0_dirichlet_energy_mean,0.012447246177524343
2-up_incidence-0_spectral_radius_mean,0.011832634597393511
down_adjacency-1_kirchhoff_index_mean,0.01169093286843513
up_adjacency-0_spectral_gap_mean,0.011015893211293752
down_adjacency-2_spectral_radius_mean,0.009795448137172497
up_adjacency-1_degree_assortativity_mean,0.009361514985731364
up_incidence-0_dirichlet_energy_mean,0.00902824995562465
down_incidence-2_spectral_radius_mean,0.008749293708418645
2-up_adjacency-0_spectral_radius_mean,0.008126380994971406
2-down_adjacency-2_dirichlet_energy_mean,0.008023038599404324
up_adjacency-0_kirchhoff_index_mean,0.007444560819330771
down_incidence-1_dirichlet_energy_mean,0.007336301465830472
up_adjacency-0_degree_assortativity_mean,0.007310902375231849
up_adjacency-0_spectral_radius_mean,0.007017349528319568
up_incidence-1_spectral_radius_mean,0.0069269019071820735
down_incidence-2_dirichlet_energy_mean,0.00662988707028667
up_adjacency-1_spectral_radius_mean,0.006573613318057538
down_adjacency-2_kirchhoff_index_mean,0.006288087619260031
down_incidence-1_effective_diameter_mean,0.005563947935661324
2-down_adjacency-2_kirchhoff_index_mean,0.005208788102770472
up_incidence-1_dirichlet_energy_mean,0.004666754485715809
2-down_incidence-2_degree_assortativity_mean,0.00462708828366428
2-up_incidence-0_dirichlet_energy_mean,0.004473334743517156
2-down_adjacency-2_degree_assortativity_mean,0.004338078151164397
up_incidence-1_effective_diameter_mean,0.004305464073579055
2-down_adjacency-2_effective_diameter_mean,0.004035119257500394
down_incidence-2_kirchhoff_index_mean,0.0036871971331975477
down_adjacency-2_degree_assortativity_mean,0.003656440456989819
up_incidence-1_spectral_gap_mean,0.0029456669931792355
up_incidence-1_kirchhoff_index_mean,0.0028366998326459047
down_adjacency-2_effective_diameter_mean,0.0028045753329358023
2-down_incidence-2_dirichlet_energy_mean,0.002703752803887901
down_adjacency-2_clustering_coefficient_mean,0.0023678793798205347
2-up_adjacency-0_degree_assortativity_mean,0.0021153192216954437
up_adjacency-1_kirchhoff_index_mean,0.0020535031519503455
2-up_incidence-0_degree_assortativity_mean,0.0019415777158798702
2-down_incidence-2_kirchhoff_index_mean,0.0019359065642499055
down_adjacency-2_dirichlet_energy_mean,0.001639781467191899
down_incidence-2_spectral_gap_mean,0.0015927628457704155
2-up_adjacency-0_effective_diameter_mean,0.0015053077652315897
2-up_incidence-0_kirchhoff_index_mean,0.0013305708155350005
2-up_adjacency-0_kirchhoff_index_mean,0.0012982546421275738
2-down_incidence-2_effective_diameter_mean,0.0008138705020485405
up_adjacency-1_effective_diameter_mean,0.0007185077062615247
down_incidence-2_effective_diameter_mean,0.0001927052153308484
