Metric,Importance
up_adjacency-1_dirichlet_energy_mean,0.030209140712967684
down_adjacency-1_degree_assortativity_mean,0.024534298195781713
up_incidence-0_effective_diameter_max,0.02174916322221283
up_adjacency-1_dirichlet_energy_max,0.0185331728378288
down_incidence-1_effective_diameter_max,0.018211562259182388
up_incidence-0_kirchhoff_index_max,0.018134883792086186
down_adjacency-1_kirchhoff_index_mean,0.016970496950745383
up_incidence-0_spectral_radius_mean,0.016929208044747297
down_adjacency-1_degree_assortativity_max,0.016839885852943205
down_adjacency-1_kirchhoff_index_max,0.016517400304397533
up_incidence-1_degree_assortativity_min,0.01625532668244377
up_adjacency-0_effective_diameter_mean,0.015951217229287787
down_adjacency-2_spectral_radius_mean,0.014864260521697236
down_adjacency-1_effective_diameter_max,0.014313196150452664
up_adjacency-1_spectral_gap_mean,0.013443654736308213
down_adjacency-1_clustering_coefficient_min,0.012674399907628798
2-down_incidence-2_dirichlet_energy_min,0.012137175187665172
up_incidence-1_effective_diameter_min,0.012031045959987073
2-down_incidence-2_effective_diameter_min,0.011993442231023752
up_adjacency-1_kirchhoff_index_min,0.011655433797302734
2-down_adjacency-2_degree_assortativity_min,0.0114374784818317
2-up_adjacency-0_dirichlet_energy_max,0.011379992787251086
up_adjacency-0_degree_assortativity_max,0.011152887240163825
down_incidence-1_effective_diameter_mean,0.011015321177922609
down_adjacency-2_clustering_coefficient_min,0.010818946829134583
up_incidence-0_kirchhoff_index_mean,0.010439933260576063
2-up_adjacency-0_clustering_coefficient_mean,0.010121628890283126
2-up_adjacency-0_dirichlet_energy_mean,0.01010971240389425
down_incidence-1_kirchhoff_index_max,0.010048067007445744
down_adjacency-1_spectral_gap_max,0.01000708487330313
down_incidence-2_spectral_radius_mean,0.009908755640710148
2-up_adjacency-0_kirchhoff_index_min,0.009765475944316796
down_incidence-2_effective_diameter_min,0.009739441110066112
down_incidence-1_spectral_gap_mean,0.009360292648669473
down_incidence-1_kirchhoff_index_mean,0.009305753868889276
down_incidence-1_degree_assortativity_max,0.009119552435179742
up_adjacency-0_spectral_gap_mean,0.009060904961836197
2-up_incidence-0_spectral_gap_mean,0.009049969604826177
up_incidence-0_effective_diameter_mean,0.00897542347130818
up_adjacency-0_spectral_radius_mean,0.008747682268869633
up_adjacency-0_kirchhoff_index_max,0.008661651999019655
up_incidence-0_dirichlet_energy_mean,0.008161598081312869
up_incidence-1_kirchhoff_index_min,0.008097917137831805
2-up_adjacency-0_spectral_gap_mean,0.007723119065945292
down_incidence-1_spectral_radius_mean,0.007708350622094433
down_incidence-2_effective_diameter_mean,0.007654789236855879
2-up_incidence-0_spectral_radius_mean,0.007639599874268325
down_adjacency-1_clustering_coefficient_mean,0.007610011785305364
down_adjacency-2_effective_diameter_mean,0.007499330173817131
up_adjacency-0_spectral_radius_max,0.007336657679597925
2-down_adjacency-2_clustering_coefficient_mean,0.007299339381839898
down_adjacency-2_effective_diameter_max,0.007206390274219585
2-down_adjacency-2_spectral_gap_max,0.006880094856945356
down_adjacency-1_effective_diameter_mean,0.006741915802034199
2-down_incidence-2_dirichlet_energy_mean,0.006617528634611494
down_adjacency-2_spectral_gap_mean,0.00649984709872559
down_incidence-2_degree_assortativity_min,0.006464975307971355
up_adjacency-0_degree_assortativity_mean,0.006384223843754891
2-down_incidence-2_spectral_gap_mean,0.006282460858107002
down_adjacency-2_degree_assortativity_mean,0.0062228819813483814
