Metric,Importance
down_incidence-1_effective_diameter_max,0.0505250453401804
up_incidence-0_effective_diameter_max,0.04414540607997026
down_adjacency-1_degree_assortativity_max,0.03785087643517522
up_incidence-0_kirchhoff_index_max,0.03326145824925065
down_adjacency-1_effective_diameter_max,0.031111061485656778
up_adjacency-0_effective_diameter_max,0.030842366386293955
2-down_incidence-2_dirichlet_energy_mean,0.023839305627201574
down_adjacency-1_degree_assortativity_mean,0.022105849458883022
down_incidence-1_effective_diameter_mean,0.02000150080677665
down_adjacency-1_clustering_coefficient_mean,0.01999569740538881
down_adjacency-1_kirchhoff_index_max,0.019241898992847232
up_adjacency-0_degree_assortativity_max,0.018515916735115604
up_adjacency-0_kirchhoff_index_max,0.016727368573588062
down_adjacency-1_effective_diameter_mean,0.01534152127523451
down_adjacency-1_spectral_gap_min,0.015277096591929114
up_adjacency-0_dirichlet_energy_max,0.014790228287002383
2-up_adjacency-0_clustering_coefficient_mean,0.014721263575717146
up_incidence-0_effective_diameter_mean,0.014193999364752937
up_adjacency-0_spectral_radius_min,0.014133413662923987
up_adjacency-1_dirichlet_energy_max,0.013909036517766309
down_adjacency-1_dirichlet_energy_min,0.013870319688170412
down_incidence-1_spectral_gap_min,0.013783263132783243
up_incidence-0_kirchhoff_index_mean,0.013256609692433384
down_adjacency-1_kirchhoff_index_mean,0.012880690849964729
2-down_incidence-2_effective_diameter_min,0.01253396832887842
up_adjacency-0_effective_diameter_mean,0.011892974144274406
down_incidence-1_kirchhoff_index_max,0.010956196473222386
up_adjacency-0_spectral_gap_mean,0.010007322926885576
up_adjacency-1_kirchhoff_index_max,0.009965758469352565
down_adjacency-1_clustering_coefficient_min,0.009881788357740354
up_incidence-1_spectral_radius_mean,0.009806626844428101
down_adjacency-1_dirichlet_energy_max,0.009753051840570655
down_incidence-2_effective_diameter_min,0.00974987097429967
up_adjacency-1_spectral_radius_min,0.009515107179875632
2-down_incidence-2_kirchhoff_index_min,0.00951445263066056
down_incidence-2_kirchhoff_index_mean,0.009397851640555444
2-down_incidence-2_degree_assortativity_mean,0.009354174927620322
2-up_adjacency-0_spectral_radius_max,0.009343646605128623
down_adjacency-1_kirchhoff_index_min,0.00931281015051485
up_adjacency-0_dirichlet_energy_mean,0.009064798425363922
up_adjacency-1_dirichlet_energy_mean,0.008987243319715616
2-up_incidence-0_spectral_gap_mean,0.008843910352012327
up_adjacency-1_clustering_coefficient_min,0.008839097084289593
2-up_incidence-0_effective_diameter_min,0.008440960557212248
