dataset_name,model_type,model_category,score_name,score,score_std,val_score,run_count,config.model.model_domain,config.model.tune_gnn,config.model.backbone.neighborhoods,config.model.backbone.GNN.num_layers,config.model.feature_encoder.out_channels,config.model.feature_encoder.proj_dropout,config.optimizer.parameters.lr,config.optimizer.parameters.weight_decay,config.dataset.dataloader_params.batch_size
BBB_Martins,topotune,combined_cell,accuracy,0.853201973438263,0.016485912681999986,0.906403923034668,5,cell,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,256.0,0.5,0.01,0.0001,128.0
BBB_Martins,gin,combined_graph,accuracy,0.8287356350156996,0.00919494259478378,0.8837438450919257,45,graph,,,,256.0,0.25,0.001,0.0001,256.0
BBB_Martins,topotune,combined_simplicial,accuracy,0.83103449344635,0.002808300798617097,0.9054187297821045,5,simplicial,GIN,"['up_adjacency-0', '2-up_adjacency-0']",1.0,256.0,0.25,0.01,0.0001,128.0
CYP3A4_Veith,topotune,combined_cell,accuracy,0.7864557862281799,0.0035537645958660046,0.8235198616981506,5,cell,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,256.0,0.5,0.01,0.0001,256.0
CYP3A4_Veith,gat,combined_graph,accuracy,0.7760295629501343,0.008497286717800836,0.7914030803574457,45,graph,,,,256.0,0.5,0.001,0.0001,128.0
CYP3A4_Veith,topotune,combined_simplicial,accuracy,0.7788321256637574,0.004611132572789389,0.8207623720169067,5,simplicial,GIN,['up_adjacency-0'],2.0,128.0,0.5,0.01,0.0001,256.0
Caco2_Wang,hopse_m,combined_cell,mae,0.4272942513227463,0.04720004543989198,0.415275138815244,150,cell,,,,128.0,0.25,0.001,0.0001,128.0
Caco2_Wang,gat,combined_graph,mae,1.104136468304528,0.1495468144098443,1.0750553687413533,45,graph,,,,128.0,0.25,0.01,0.0001,128.0
Caco2_Wang,hopse_m,combined_simplicial,mae,0.38908630592955484,0.037520644572316096,0.38750260141160753,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
Clearance_Hepatocyte_AZ,topotune,combined_cell,mae,36.68585891723633,0.5200598562191215,31.973246002197264,5,cell,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.5,0.01,0.0001,256.0
Clearance_Hepatocyte_AZ,gat,combined_graph,mae,36.614068264431424,2.396942435783506,35.08010423448351,45,graph,,,,128.0,0.25,0.01,0.0001,128.0
Clearance_Hepatocyte_AZ,topotune,combined_simplicial,mae,35.03855819702149,1.4064841714448635,32.43352355957031,5,simplicial,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,128.0,0.25,0.01,0.0001,128.0
MUTAG,hopse_m,combined_cell,accuracy,0.8202837026119232,0.05929109877898518,0.8760283827781677,150,cell,,,,128.0,0.5,0.001,0.0,256.0
MUTAG,gat,combined_graph,accuracy,0.7862884177101983,0.09362094288828166,0.8401891337500678,45,graph,,,,128.0,0.25,0.001,0.0,256.0
MUTAG,topotune,combined_simplicial,accuracy,0.8425531983375549,0.09101809221477591,0.8936170339584351,5,simplicial,GIN,['up_adjacency-0'],4.0,128.0,0.5,0.01,0.0001,128.0
NCI1,topotune,combined_cell,accuracy,0.772762656211853,0.016941148392621518,0.7924050569534302,5,cell,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.5,0.01,0.0001,128.0
NCI1,gat,combined_graph,accuracy,0.7305447578430175,0.015500506813577487,0.7422698219617208,45,graph,,,,128.0,0.25,0.01,0.0001,128.0
NCI1,topotune,combined_simplicial,accuracy,0.7677042841911316,0.016370169061562266,0.7834469199180603,5,simplicial,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,128.0,0.25,0.01,0.0001,128.0
NCI109,topotune,combined_cell,accuracy,0.7523717403411865,0.019134703112553605,0.7773035883903503,5,cell,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.25,0.01,0.0001,256.0
NCI109,gat,combined_graph,accuracy,0.721910293896993,0.016415975038496476,0.7388511644469367,45,graph,,,,128.0,0.25,0.01,0.0,128.0
NCI109,topotune,combined_simplicial,accuracy,0.7579864501953125,0.014342237978547228,0.7873908877372742,5,simplicial,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,256.0,0.5,0.01,0.0001,128.0
PROTEINS,topotune,combined_cell,accuracy,0.7354838728904725,0.019033556670818585,0.7712230205535888,5,cell,GCN,['up_adjacency-0'],2.0,128.0,0.5,0.01,0.0001,128.0
PROTEINS,gcn,combined_graph,accuracy,0.7449621677398681,0.02744554609362996,0.7619504438506233,45,graph,,,,128.0,0.5,0.01,0.0,128.0
PROTEINS,topotune,combined_simplicial,accuracy,0.7612903118133545,0.015540844942046066,0.7755395650863648,5,simplicial,GIN,"['up_incidence-0', '2-up_incidence-0']",4.0,128.0,0.25,0.01,0.0001,128.0
mantra_betti_number_1,gin,combined_graph,f1,0.8720348238945007,0.0261867499389183,0.8810177458657159,45,graph,,,,128.0,0.25,0.001,0.0001,128.0
mantra_betti_number_1,topotune,combined_simplicial,f1,0.8977366328239441,0.0029692428017898923,0.9089234113693238,5,simplicial,GIN,"['up_adjacency-0', 'up_adjacency-1', '2-up_adjacency-0', 'down_adjacency-1', 'down_adjacency-2', '2-down_adjacency-2']",4.0,128.0,0.5,0.01,0.0,128.0
mantra_betti_number_2,gin,combined_graph,f1,0.519088351726532,0.04101951951835318,0.5188062204254998,45,graph,,,,256.0,0.25,0.001,0.0001,128.0
mantra_betti_number_2,topotune,combined_simplicial,f1,0.8036990523338318,0.02201748811206608,0.8076133728027344,5,simplicial,GIN,"['up_adjacency-0', 'up_adjacency-1', '2-up_adjacency-0', 'down_adjacency-1', 'down_adjacency-2', '2-down_adjacency-2']",4.0,128.0,0.5,0.01,0.0,128.0
mantra_name,gin,combined_graph,f1,0.7641712082756891,0.009831432634059466,0.7653505537245009,45,graph,,,,128.0,0.25,0.001,0.0001,256.0
mantra_name,topotune,combined_simplicial,f1,0.8795015573501587,0.006413607318763829,0.8845606327056885,5,simplicial,GIN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.25,0.01,0.0,256.0
mantra_orientation,gin,combined_graph,f1,0.5629333986176385,0.004713264575613854,0.5591530640920003,45,graph,,,,128.0,0.5,0.001,0.0001,256.0
mantra_orientation,topotune,combined_simplicial,f1,0.7542657852172852,0.012256433703223688,0.7607099056243897,5,simplicial,GIN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,256.0,0.25,0.01,0.0,128.0
