dataset_name,model_type,model_category,score_name,score,score_std,val_score,run_count,config.model.model_domain,config.model.tune_gnn,config.model.backbone.neighborhoods,config.model.backbone.GNN.num_layers,config.model.feature_encoder.out_channels,config.model.feature_encoder.proj_dropout,config.optimizer.parameters.lr,config.optimizer.parameters.weight_decay,config.dataset.dataloader_params.batch_size
BBB_Martins,hopse_m,hopse_m_cell,accuracy,0.8345484415690104,0.015427351092535013,0.8950410501162211,150,cell,,,,128.0,0.5,0.001,0.0001,256.0
BBB_Martins,hopse_m,hopse_m_simplicial,accuracy,0.833333334989018,0.017623796277667306,0.8842090876566039,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
CYP3A4_Veith,hopse_m,hopse_m_cell,accuracy,0.7448619767471596,0.013136596239063025,0.7550148685773214,135,cell,,,,128.0,0.5,0.001,0.0001,256.0
CYP3A4_Veith,hopse_m,hopse_m_simplicial,accuracy,0.7465058118104935,0.019945910954767644,0.7581350818276406,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
Caco2_Wang,hopse_m,hopse_m_cell,mae,0.4272942513227463,0.04720004543989198,0.415275138815244,150,cell,,,,128.0,0.25,0.001,0.0001,128.0
Caco2_Wang,hopse_m,hopse_m_simplicial,mae,0.38908630592955484,0.037520644572316096,0.38750260141160753,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
Clearance_Hepatocyte_AZ,hopse_m,hopse_m_cell,mae,36.63440196990967,1.5028843340140592,36.80313616434733,150,cell,,,,256.0,0.25,0.001,0.0001,128.0
Clearance_Hepatocyte_AZ,hopse_m,hopse_m_simplicial,mae,36.64128805796305,1.4539474992553514,36.61852504412333,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
MUTAG,hopse_m,hopse_m_cell,accuracy,0.8202837026119232,0.05929109877898518,0.8760283827781677,150,cell,,,,128.0,0.5,0.001,0.0,256.0
MUTAG,hopse_m,hopse_m_simplicial,accuracy,0.7677304968237877,0.0847165695211905,0.8255910259154108,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
NCI1,hopse_m,hopse_m_cell,accuracy,0.7313748423258464,0.020015619916817114,0.7433106128374736,150,cell,,,,128.0,0.5,0.001,0.0,128.0
NCI1,hopse_m,hopse_m_simplicial,accuracy,0.7083360390530692,0.029069695906422183,0.7205236395200093,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
NCI109,hopse_m,hopse_m_cell,accuracy,0.7250855127970378,0.01905294196376916,0.7368186215559641,150,cell,,,,128.0,0.25,0.001,0.0,256.0
NCI109,hopse_m,hopse_m_simplicial,accuracy,0.6996074010928471,0.030660291297850032,0.7147726049025853,360,simplicial,,,,128.0,0.25,0.001,0.0001,128.0
PROTEINS,hopse_m,hopse_m_cell,accuracy,0.7495101555188497,0.026251827927468392,0.7650359733899434,150,cell,,,,128.0,0.25,0.001,0.0001,256.0
PROTEINS,hopse_m,hopse_m_simplicial,accuracy,0.7551552405605069,0.0483721613347233,0.7699243217319637,154,simplicial,,,,128.0,0.25,0.001,0.0,128.0
mantra_betti_number_1,hopse_m,hopse_m_simplicial,f1,0.8893577933311463,0.0076850858196929875,0.9000352893556868,35,simplicial,,,,128.0,0.5,0.001,0.0,128.0
mantra_betti_number_2,hopse_m,hopse_m_simplicial,f1,0.698746793610709,0.11953555646358723,0.7001794593674796,35,simplicial,,,,256.0,0.25,0.001,0.0,128.0
mantra_name,hopse_m,hopse_m_simplicial,f1,0.8057086284955343,0.06969573915524412,0.8073640648523966,150,simplicial,,,,128.0,0.5,0.001,0.0,128.0
mantra_orientation,hopse_m,hopse_m_simplicial,f1,0.6345328787962595,0.06554945043606134,0.6341025580962499,150,simplicial,,,,128.0,0.5,0.01,0.0,256.0
