Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_incidence-2_spectral_gap_mean,0.8571428571428572,0.0065300172547152905,8,0.6856518117451055,False
2-up_incidence-0_spectral_gap_mean,0.8571428571428572,0.0065300172547152905,8,0.6856518117451055,False
down_adjacency-1_clustering_coefficient_mean,0.8333333333333335,0.010175540123456752,8,0.7122878086419727,False
2-up_adjacency-0_spectral_gap_mean,0.7857142857142858,0.020815127253525273,8,0.8742353446480615,False
up_adjacency-1_spectral_gap_mean,0.7857142857142858,0.020815127253525273,8,0.8742353446480615,False
down_incidence-2_spectral_gap_mean,0.6904761904761906,0.057990318164572716,8,0.9416596621678293,False
up_incidence-1_spectral_gap_mean,0.6904761904761906,0.057990318164572716,8,0.9416596621678293,False
up_adjacency-0_degree_assortativity_max,-0.6666666666666669,0.07098765432098755,8,0.9416596621678293,False
down_adjacency-1_spectral_gap_min,0.6587325492402599,0.07566679148584919,8,0.9416596621678293,False
up_adjacency-1_spectral_radius_mean,0.6190476190476191,0.10173303745426478,8,0.9416596621678293,False
down_adjacency-1_degree_assortativity_max,-0.6190476190476191,0.10173303745426478,8,0.9416596621678293,False
up_incidence-0_spectral_gap_min,0.5611425419454067,0.14786012226893974,8,0.9416596621678293,False
down_incidence-1_spectral_gap_min,0.5611425419454067,0.14786012226893974,8,0.9416596621678293,False
2-up_adjacency-0_spectral_gap_min,0.5509080804800991,0.1570184219978913,8,0.9416596621678293,False
2-down_adjacency-2_spectral_gap_mean,0.5476190476190477,0.16002564253889653,8,0.9416596621678293,False
2-up_adjacency-0_degree_assortativity_max,-0.5182674893104818,0.1882358244358881,8,0.9416596621678293,False
2-up_incidence-0_spectral_radius_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
2-up_adjacency-0_spectral_radius_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
down_incidence-2_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
up_incidence-1_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
2-down_incidence-2_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
2-up_incidence-0_degree_assortativity_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
up_incidence-1_spectral_radius_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
down_adjacency-2_clustering_coefficient_mean,0.5000000000000001,0.2070312499999999,8,0.9416596621678293,False
down_adjacency-2_degree_assortativity_mean,-0.4761904761904762,0.23293553465009798,8,0.9416596621678293,False
up_incidence-0_effective_diameter_max,-0.4761904761904762,0.23293553465009798,8,0.9416596621678293,False
down_adjacency-1_effective_diameter_max,-0.4761904761904762,0.23293553465009798,8,0.9416596621678293,False
down_incidence-1_effective_diameter_max,-0.4761904761904762,0.23293553465009798,8,0.9416596621678293,False
up_adjacency-0_effective_diameter_max,-0.4761904761904762,0.23293553465009798,8,0.9416596621678293,False
down_incidence-2_spectral_gap_min,0.4523809523809524,0.2604047674368853,8,0.9416596621678293,False
down_adjacency-2_spectral_radius_mean,0.4523809523809524,0.2604047674368853,8,0.9416596621678293,False
up_incidence-1_spectral_gap_min,0.4523809523809524,0.2604047674368853,8,0.9416596621678293,False
up_adjacency-0_dirichlet_energy_min,0.4364357804719848,0.27965829090465766,8,0.9416596621678293,False
2-down_adjacency-2_clustering_coefficient_mean,0.4285714285714286,0.2894032248467901,8,0.9416596621678293,False
2-down_adjacency-2_spectral_radius_mean,0.4285714285714286,0.2894032248467901,8,0.9416596621678293,False
down_adjacency-1_dirichlet_energy_mean,-0.4285714285714286,0.2894032248467901,8,0.9416596621678293,False
2-up_incidence-0_spectral_gap_min,0.4191691916696406,0.30126663266334447,8,0.9416596621678293,False
2-down_incidence-2_spectral_gap_min,0.4191691916696406,0.30126663266334447,8,0.9416596621678293,False
2-down_incidence-2_dirichlet_energy_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
down_incidence-2_spectral_radius_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
down_adjacency-1_dirichlet_energy_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
2-up_adjacency-0_clustering_coefficient_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
down_incidence-2_dirichlet_energy_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
2-down_incidence-2_spectral_radius_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
up_adjacency-1_spectral_radius_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
2-up_adjacency-0_spectral_radius_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
up_adjacency-1_clustering_coefficient_min,0.4123930494211612,0.3099587355062409,8,0.9416596621678293,False
down_adjacency-1_spectral_radius_max,-0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
down_incidence-1_spectral_radius_max,-0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
down_adjacency-2_degree_assortativity_min,0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
down_incidence-2_spectral_radius_mean,0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
up_adjacency-0_dirichlet_energy_mean,-0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
2-down_incidence-2_spectral_radius_mean,0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
up_incidence-0_spectral_radius_max,-0.4047619047619048,0.3198886412288163,8,0.9416596621678293,False
up_adjacency-1_degree_assortativity_max,-0.3952166664313755,0.3325171079338275,8,0.9416596621678293,False
up_adjacency-0_degree_assortativity_min,0.3952166664313755,0.3325171079338275,8,0.9416596621678293,False
up_adjacency-0_spectral_gap_mean,0.38095238095238104,0.35181255311756476,8,0.9416596621678293,False
up_adjacency-0_dirichlet_energy_max,-0.38095238095238104,0.35181255311756476,8,0.9416596621678293,False
down_adjacency-1_dirichlet_energy_max,-0.38095238095238104,0.35181255311756476,8,0.9416596621678293,False
down_adjacency-2_spectral_gap_mean,0.38095238095238104,0.35181255311756476,8,0.9416596621678293,False
up_incidence-0_dirichlet_energy_max,-0.37126414119311024,0.36520205801977806,8,0.9416596621678293,False
up_adjacency-0_spectral_gap_min,0.37126414119311024,0.36520205801977806,8,0.9416596621678293,False
up_adjacency-1_spectral_gap_max,-0.3659625273557,0.37262472702449545,8,0.9416596621678293,False
up_incidence-0_degree_assortativity_max,-0.3571428571428572,0.38512064355625614,8,0.9416596621678293,False
down_incidence-1_degree_assortativity_max,-0.3571428571428572,0.38512064355625614,8,0.9416596621678293,False
up_incidence-0_effective_diameter_mean,-0.3333333333333334,0.4197530864197532,8,0.9416596621678293,False
down_incidence-1_effective_diameter_mean,-0.3333333333333334,0.4197530864197532,8,0.9416596621678293,False
up_adjacency-0_effective_diameter_mean,-0.3333333333333334,0.4197530864197532,8,0.9416596621678293,False
2-down_adjacency-2_spectral_gap_min,0.3152036192297668,0.44697209677347505,8,0.9416596621678293,False
down_adjacency-2_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
2-down_adjacency-2_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
up_incidence-1_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
up_adjacency-1_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
up_adjacency-0_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
down_incidence-2_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
down_incidence-1_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
down_adjacency-1_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
up_incidence-0_kirchhoff_index_max,-0.30952380952380953,0.4556448907375822,8,0.9416596621678293,False
up_adjacency-0_clustering_coefficient_max,-0.30122668294492494,0.4684356368969022,8,0.9416596621678293,False
2-up_incidence-0_kirchhoff_index_max,-0.29940656547831473,0.4712605287015584,8,0.9416596621678293,False
up_incidence-1_degree_assortativity_max,-0.29940656547831473,0.4712605287015584,8,0.9416596621678293,False
down_incidence-2_degree_assortativity_max,-0.29940656547831473,0.4712605287015584,8,0.9416596621678293,False
2-up_adjacency-0_spectral_gap_max,-0.29940656547831473,0.4712605287015584,8,0.9416596621678293,False
2-down_incidence-2_kirchhoff_index_max,-0.29940656547831473,0.4712605287015584,8,0.9416596621678293,False
up_adjacency-1_effective_diameter_mean,0.28571428571428575,0.49272624501695717,8,0.9416596621678293,False
up_incidence-1_effective_diameter_mean,0.28571428571428575,0.49272624501695717,8,0.9416596621678293,False
down_incidence-2_effective_diameter_mean,0.28571428571428575,0.49272624501695717,8,0.9416596621678293,False
down_adjacency-2_degree_assortativity_max,-0.2790404591875126,0.5033235938564057,8,0.9416596621678293,False
up_adjacency-1_spectral_gap_min,0.277128548309331,0.5063754253085383,8,0.9416596621678293,False
up_incidence-0_spectral_radius_min,0.26635680195171657,0.5236994175768589,8,0.9416596621678293,False
up_adjacency-0_spectral_radius_min,0.26635680195171657,0.5236994175768589,8,0.9416596621678293,False
down_incidence-1_spectral_radius_min,0.26635680195171657,0.5236994175768589,8,0.9416596621678293,False
up_adjacency-1_kirchhoff_index_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-up_adjacency-0_kirchhoff_index_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-down_incidence-2_kirchhoff_index_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-down_incidence-2_effective_diameter_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
up_incidence-1_kirchhoff_index_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-up_adjacency-0_clustering_coefficient_mean,-0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-up_incidence-0_kirchhoff_index_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-up_incidence-0_effective_diameter_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
down_incidence-2_kirchhoff_index_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
up_adjacency-1_clustering_coefficient_mean,-0.261904761904762,0.530922861565801,8,0.9416596621678293,False
2-up_adjacency-0_effective_diameter_mean,0.261904761904762,0.530922861565801,8,0.9416596621678293,False
down_incidence-1_dirichlet_energy_max,-0.2515015150017844,0.5479426035598268,8,0.9416596621678293,False
up_adjacency-1_dirichlet_energy_max,-0.2515015150017844,0.5479426035598268,8,0.9416596621678293,False
