Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
down_adjacency-1_clustering_coefficient_mean,0.7343092453813707,0.00022744881868672474,20,0.051630881841886515,False
down_adjacency-1_spectral_gap_min,0.6637233349924755,0.001418597399014319,20,0.12300420347944684,False
up_adjacency-0_degree_assortativity_max,-0.6525511025966407,0.0018167812762108335,20,0.12300420347944684,False
down_adjacency-2_degree_assortativity_min,0.632373313752925,0.02038443321301251,13,0.12420920126691165,False
2-down_incidence-2_spectral_radius_mean,0.6301931662186523,0.0028980723729581767,20,0.12300420347944684,False
up_adjacency-0_clustering_coefficient_mean,0.6252983883350641,0.003195090519730918,20,0.12300420347944684,False
up_incidence-0_spectral_gap_min,0.6085407944388287,0.0044101090145025395,20,0.12300420347944684,False
down_incidence-1_spectral_gap_min,0.6085407944388287,0.0044101090145025395,20,0.12300420347944684,False
down_adjacency-2_degree_assortativity_max,-0.590631183990629,0.03355425520949539,13,0.13132441263026645,False
down_adjacency-1_degree_assortativity_max,-0.5889614359862954,0.006289783578167188,20,0.12300420347944684,False
2-down_adjacency-2_kirchhoff_index_min,0.588348405414552,0.026884295892597363,14,0.12420920126691165,False
down_adjacency-2_kirchhoff_index_min,0.588348405414552,0.026884295892597363,14,0.12420920126691165,False
up_adjacency-1_spectral_radius_mean,0.5864192696429854,0.006575993164396674,20,0.12300420347944684,False
2-down_adjacency-2_spectral_gap_mean,0.5822581651936564,0.028909061774446382,14,0.12420920126691165,False
down_incidence-2_spectral_radius_mean,0.5818909355144681,0.0071122526199177034,20,0.12300420347944684,False
2-up_incidence-0_spectral_radius_mean,0.5643817976225136,0.011826303684748404,19,0.12300420347944684,False
up_adjacency-1_spectral_gap_mean,0.562853898696807,0.012108052963917527,19,0.12300420347944684,False
2-up_adjacency-0_spectral_radius_mean,0.5622681542908934,0.00986629402857684,20,0.12300420347944684,False
down_incidence-2_dirichlet_energy_min,0.5520270592634766,0.011615486372579578,20,0.12300420347944684,False
2-down_incidence-2_spectral_radius_min,0.5520270592634766,0.011615486372579578,20,0.12300420347944684,False
2-down_incidence-2_dirichlet_energy_min,0.5520270592634766,0.011615486372579578,20,0.12300420347944684,False
up_adjacency-1_clustering_coefficient_min,0.5520270592634766,0.011615486372579578,20,0.12300420347944684,False
2-up_adjacency-0_clustering_coefficient_min,0.5520270592634766,0.011615486372579578,20,0.12300420347944684,False
2-up_adjacency-0_clustering_coefficient_mean,0.5471737071958358,0.012527876515870277,20,0.12300420347944684,False
down_adjacency-1_effective_diameter_max,-0.5465683249127317,0.012645633195787197,20,0.12300420347944684,False
up_incidence-0_effective_diameter_max,-0.5465683249127317,0.012645633195787197,20,0.12300420347944684,False
up_adjacency-0_effective_diameter_max,-0.5465683249127317,0.012645633195787197,20,0.12300420347944684,False
down_incidence-1_effective_diameter_max,-0.5465683249127317,0.012645633195787197,20,0.12300420347944684,False
down_adjacency-2_degree_assortativity_mean,-0.5432281770124247,0.05503586411226386,13,0.17595973455611122,False
2-up_adjacency-0_spectral_radius_min,0.5420806257632337,0.013546718444872999,20,0.12300420347944684,False
down_incidence-2_spectral_radius_min,0.5420806257632337,0.013546718444872999,20,0.12300420347944684,False
2-down_adjacency-2_clustering_coefficient_mean,0.533441469450781,0.018668215753291036,19,0.12420920126691165,False
down_incidence-2_degree_assortativity_mean,0.5236021000331827,0.021402826360676697,19,0.12420920126691165,False
up_incidence-1_degree_assortativity_mean,0.5236021000331827,0.021402826360676697,19,0.12420920126691165,False
2-down_adjacency-2_degree_assortativity_min,0.5231319849398176,0.06658098074185795,13,0.19767529703188913,False
2-down_adjacency-2_degree_assortativity_max,-0.5223648781919724,0.06705285405927518,13,0.19767529703188913,False
up_adjacency-0_spectral_gap_min,0.5178688138009266,0.01934196119583046,20,0.12420920126691165,False
down_adjacency-2_spectral_radius_mean,0.5111565492683873,0.025304595711917753,19,0.12420920126691165,False
2-up_adjacency-0_spectral_gap_mean,0.5097544742914479,0.025776991596597194,19,0.12420920126691165,False
up_incidence-1_spectral_radius_mean,0.5061799247426917,0.027012694061560327,19,0.12420920126691165,False
up_adjacency-0_spectral_gap_max,0.5043071067263843,0.023362741114090126,20,0.12420920126691165,False
2-down_adjacency-2_spectral_radius_mean,0.5022668701506762,0.028418108106599747,19,0.12420920126691165,False
up_adjacency-1_spectral_radius_min,0.4988996430440585,0.025139488585964175,20,0.12420920126691165,False
up_adjacency-0_clustering_coefficient_min,0.49858823247636896,0.02524497041208397,20,0.12420920126691165,False
down_adjacency-2_clustering_coefficient_mean,0.49584995650290714,0.03084583210332238,19,0.12420920126691165,False
2-down_adjacency-2_spectral_radius_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
2-up_incidence-0_effective_diameter_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
2-up_incidence-0_degree_assortativity_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
up_incidence-1_degree_assortativity_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
up_incidence-1_effective_diameter_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
down_adjacency-2_clustering_coefficient_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
down_adjacency-2_spectral_radius_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
2-down_adjacency-2_clustering_coefficient_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
down_incidence-2_degree_assortativity_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
down_incidence-2_effective_diameter_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
up_adjacency-1_effective_diameter_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
2-down_incidence-2_degree_assortativity_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
2-down_incidence-2_effective_diameter_min,0.49497474683058323,0.031189094591250945,19,0.12420920126691165,False
down_incidence-1_degree_assortativity_max,-0.49206289638957834,0.027536813869081394,20,0.12420920126691165,False
up_incidence-0_degree_assortativity_max,-0.49206289638957834,0.027536813869081394,20,0.12420920126691165,False
up_adjacency-0_degree_assortativity_mean,-0.49206289638957834,0.027536813869081394,20,0.12420920126691165,False
2-down_adjacency-2_spectral_gap_min,0.4816559373112648,0.08117409844341066,14,0.20737709738190255,False
down_adjacency-1_degree_assortativity_mean,-0.46783826149039914,0.03751020540195994,20,0.14431892586855774,False
up_adjacency-1_degree_assortativity_mean,-0.4627033034013886,0.046060282732586943,19,0.1633700653171443,False
up_adjacency-0_kirchhoff_index_max,-0.4587540234032068,0.04190013518154208,20,0.1509735029557151,False
down_incidence-1_kirchhoff_index_max,-0.4587540234032068,0.04190013518154208,20,0.1509735029557151,False
up_incidence-0_kirchhoff_index_max,-0.4587540234032068,0.04190013518154208,20,0.1509735029557151,False
down_adjacency-1_kirchhoff_index_max,-0.4587540234032068,0.04190013518154208,20,0.1509735029557151,False
2-down_incidence-2_degree_assortativity_mean,0.4560405387385786,0.04971167245718737,19,0.16509418688631633,False
2-up_incidence-0_degree_assortativity_mean,0.4560405387385786,0.04971167245718737,19,0.16509418688631633,False
up_adjacency-1_kirchhoff_index_min,0.4539351341233136,0.050910101683005034,19,0.16509418688631633,False
down_incidence-2_kirchhoff_index_min,0.4539351341233136,0.050910101683005034,19,0.16509418688631633,False
2-up_incidence-0_spectral_radius_min,0.4539351341233136,0.050910101683005034,19,0.16509418688631633,False
up_incidence-1_kirchhoff_index_min,0.4539351341233136,0.050910101683005034,19,0.16509418688631633,False
down_adjacency-2_spectral_gap_mean,0.44447188182721864,0.11131498594479405,14,0.26321356051529426,False
down_incidence-2_kirchhoff_index_mean,0.440725222564481,0.05893731867430504,19,0.18581626859815614,False
down_adjacency-2_effective_diameter_mean,0.44002716300894645,0.11536767734145076,14,0.2645299268334275,False
down_adjacency-2_kirchhoff_index_mean,0.44002716300894645,0.11536767734145076,14,0.2645299268334275,False
2-down_adjacency-2_kirchhoff_index_mean,0.44002716300894645,0.11536767734145076,14,0.2645299268334275,False
2-down_adjacency-2_spectral_gap_max,0.43482827673933633,0.12023433403645964,14,0.26764693860784233,False
up_adjacency-1_kirchhoff_index_mean,0.4347053088560719,0.0628965959769811,19,0.19036703049032946,False
up_incidence-1_kirchhoff_index_mean,0.4347053088560719,0.0628965959769811,19,0.19036703049032946,False
down_adjacency-1_dirichlet_energy_min,0.42725070329282794,0.06025411197814434,20,0.18736552628820227,False
down_adjacency-2_spectral_gap_max,0.42669300655412984,0.12812633032674384,14,0.2823755047006879,False
up_incidence-1_spectral_radius_min,0.421211318446449,0.07249307206414217,19,0.19976320952921953,False
up_incidence-1_effective_diameter_mean,0.42048182226773423,0.07304117352830494,19,0.19976320952921953,False
up_adjacency-1_effective_diameter_mean,0.42048182226773423,0.07304117352830494,19,0.19976320952921953,False
down_incidence-2_effective_diameter_mean,0.42048182226773423,0.07304117352830494,19,0.19976320952921953,False
up_adjacency-1_degree_assortativity_max,-0.417854957863761,0.07504036542135414,19,0.2027876541743737,False
down_adjacency-1_spectral_radius_min,0.4161174632887211,0.06801664707801483,20,0.1979458831629406,False
2-down_incidence-2_kirchhoff_index_mean,0.4115921431500232,0.079970033461086,19,0.20737709738190255,False
2-up_incidence-0_kirchhoff_index_mean,0.4115921431500232,0.079970033461086,19,0.20737709738190255,False
up_adjacency-0_dirichlet_energy_max,-0.41030475360484836,0.07235634786612515,20,0.19976320952921953,False
up_adjacency-1_clustering_coefficient_mean,0.4037764597927892,0.077473475296369,20,0.20689975167383248,False
down_adjacency-1_clustering_coefficient_min,0.39909371537371224,0.08130643906162699,20,0.20737709738190255,False
2-up_adjacency-0_clustering_coefficient_max,0.39735426454413414,0.082765435924836,20,0.2087528217215308,False
up_adjacency-0_spectral_gap_mean,0.38910819806806657,0.0899467194850405,20,0.22437258596817794,False
down_adjacency-1_spectral_gap_max,0.38608011870566916,0.09269545971899618,20,0.22871597126317536,False
