Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
down_adjacency-1_clustering_coefficient_mean,0.7343092453813707,0.00022744881868672474,20,0.01774100785756453,True
2-down_incidence-2_spectral_radius_mean,0.6301931662186523,0.0028980723729581767,20,0.08307235351300386,False
up_adjacency-0_clustering_coefficient_mean,0.6252983883350641,0.003195090519730918,20,0.08307235351300386,False
up_adjacency-1_spectral_radius_mean,0.5864192696429854,0.006575993164396674,20,0.10857492980420906,False
2-down_adjacency-2_spectral_gap_mean,0.5822581651936564,0.028909061774446382,14,0.125272601022601,False
down_incidence-2_spectral_radius_mean,0.5818909355144681,0.0071122526199177034,20,0.10857492980420906,False
2-up_incidence-0_spectral_radius_mean,0.5643817976225136,0.011826303684748404,19,0.10857492980420906,False
up_adjacency-1_spectral_gap_mean,0.562853898696807,0.012108052963917527,19,0.10857492980420906,False
2-up_adjacency-0_spectral_radius_mean,0.5622681542908934,0.00986629402857684,20,0.10857492980420906,False
2-up_adjacency-0_clustering_coefficient_mean,0.5471737071958358,0.012527876515870277,20,0.10857492980420906,False
down_adjacency-2_degree_assortativity_mean,-0.5432281770124247,0.05503586411226386,13,0.17886655836485754,False
2-down_adjacency-2_clustering_coefficient_mean,0.533441469450781,0.018668215753291036,19,0.125272601022601,False
up_incidence-1_degree_assortativity_mean,0.5236021000331827,0.021402826360676697,19,0.125272601022601,False
down_incidence-2_degree_assortativity_mean,0.5236021000331827,0.021402826360676697,19,0.125272601022601,False
down_adjacency-2_spectral_radius_mean,0.5111565492683873,0.025304595711917753,19,0.125272601022601,False
2-up_adjacency-0_spectral_gap_mean,0.5097544742914479,0.025776991596597194,19,0.125272601022601,False
up_incidence-1_spectral_radius_mean,0.5061799247426917,0.027012694061560327,19,0.125272601022601,False
2-down_adjacency-2_spectral_radius_mean,0.5022668701506762,0.028418108106599747,19,0.125272601022601,False
down_adjacency-2_clustering_coefficient_mean,0.49584995650290714,0.03084583210332238,19,0.12663025810837608,False
up_adjacency-0_degree_assortativity_mean,-0.49206289638957834,0.027536813869081394,20,0.125272601022601,False
down_adjacency-1_degree_assortativity_mean,-0.46783826149039914,0.03751020540195994,20,0.14628980106764378,False
up_adjacency-1_degree_assortativity_mean,-0.4627033034013886,0.046060282732586943,19,0.16858741094176585,False
2-down_incidence-2_degree_assortativity_mean,0.4560405387385786,0.04971167245718737,19,0.16858741094176585,False
2-up_incidence-0_degree_assortativity_mean,0.4560405387385786,0.04971167245718737,19,0.16858741094176585,False
down_adjacency-2_spectral_gap_mean,0.44447188182721864,0.11131498594479405,14,0.21815377969101457,False
down_incidence-2_kirchhoff_index_mean,0.440725222564481,0.05893731867430504,19,0.1817012772668343,False
down_adjacency-2_kirchhoff_index_mean,0.44002716300894645,0.11536767734145076,14,0.21815377969101457,False
down_adjacency-2_effective_diameter_mean,0.44002716300894645,0.11536767734145076,14,0.21815377969101457,False
2-down_adjacency-2_kirchhoff_index_mean,0.44002716300894645,0.11536767734145076,14,0.21815377969101457,False
up_incidence-1_kirchhoff_index_mean,0.4347053088560719,0.0628965959769811,19,0.1817012772668343,False
up_adjacency-1_kirchhoff_index_mean,0.4347053088560719,0.0628965959769811,19,0.1817012772668343,False
down_incidence-2_effective_diameter_mean,0.42048182226773423,0.07304117352830494,19,0.18902007908983964,False
up_incidence-1_effective_diameter_mean,0.42048182226773423,0.07304117352830494,19,0.18902007908983964,False
up_adjacency-1_effective_diameter_mean,0.42048182226773423,0.07304117352830494,19,0.18902007908983964,False
2-up_incidence-0_kirchhoff_index_mean,0.4115921431500232,0.079970033461086,19,0.18902007908983964,False
2-down_incidence-2_kirchhoff_index_mean,0.4115921431500232,0.079970033461086,19,0.18902007908983964,False
