Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_adjacency-2_spectral_gap_max,0.8451542547285165,0.03410942316740967,6,0.1622497824018074,False
2-down_adjacency-2_spectral_gap_mean,0.8451542547285165,0.03410942316740967,6,0.1622497824018074,False
down_adjacency-2_spectral_gap_max,0.8451542547285165,0.03410942316740967,6,0.1622497824018074,False
2-down_adjacency-2_kirchhoff_index_min,0.8280786712108251,0.041794680456045265,6,0.1622497824018074,False
down_adjacency-2_kirchhoff_index_min,0.8280786712108251,0.041794680456045265,6,0.1622497824018074,False
up_adjacency-1_clustering_coefficient_mean,0.8186349431603627,0.0011298473773867083,12,0.065472534254599,False
up_adjacency-0_clustering_coefficient_mean,0.8186349431603627,0.0011298473773867083,12,0.065472534254599,False
2-up_adjacency-0_clustering_coefficient_mean,0.8186349431603627,0.0011298473773867083,12,0.065472534254599,False
down_incidence-2_dirichlet_energy_mean,0.7830421195446948,0.002595827349301282,12,0.065472534254599,False
2-up_adjacency-0_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.065472534254599,False
down_incidence-2_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.065472534254599,False
2-down_incidence-2_dirichlet_energy_mean,0.7830421195446948,0.002595827349301282,12,0.065472534254599,False
up_adjacency-1_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.065472534254599,False
2-down_incidence-2_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.065472534254599,False
2-down_adjacency-2_spectral_gap_min,0.7775419143502353,0.06872694144108958,6,0.17932201962215327,False
down_adjacency-2_spectral_gap_mean,0.7775419143502353,0.06872694144108958,6,0.17932201962215327,False
2-up_adjacency-0_degree_assortativity_min,0.7775419143502353,0.06872694144108958,6,0.17932201962215327,False
down_adjacency-1_clustering_coefficient_mean,0.7118564723133589,0.009408425594320844,12,0.1622497824018074,False
up_adjacency-0_spectral_gap_max,0.7099008916870718,0.009696549551737378,12,0.1622497824018074,False
down_adjacency-2_degree_assortativity_min,0.7071067811865475,0.18169011381620942,5,0.3070934783051674,False
2-down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.3070934783051674,False
2-down_adjacency-2_degree_assortativity_max,-0.7071067811865475,0.18169011381620942,5,0.3070934783051674,False
2-down_adjacency-2_degree_assortativity_min,0.7071067811865475,0.18169011381620942,5,0.3070934783051674,False
down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.3070934783051674,False
down_adjacency-2_degree_assortativity_max,-0.7071067811865475,0.18169011381620942,5,0.3070934783051674,False
up_adjacency-0_degree_assortativity_mean,-0.7047379075902253,0.010488822607963074,12,0.1622497824018074,False
up_adjacency-1_degree_assortativity_max,-0.7016135979285366,0.01611784175963478,11,0.1622497824018074,False
down_adjacency-1_spectral_gap_min,0.6740473112988358,0.016230327391183866,12,0.1622497824018074,False
up_adjacency-0_degree_assortativity_max,-0.6691450839745572,0.017325990754414558,12,0.1622497824018074,False
up_incidence-0_spectral_gap_min,0.645364446988247,0.02342529078473869,12,0.1622497824018074,False
down_incidence-1_spectral_gap_min,0.645364446988247,0.02342529078473869,12,0.1622497824018074,False
2-up_adjacency-0_spectral_radius_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
up_adjacency-1_clustering_coefficient_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
2-up_adjacency-0_clustering_coefficient_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
2-down_incidence-2_dirichlet_energy_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
down_incidence-2_spectral_radius_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
up_adjacency-1_spectral_radius_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
up_adjacency-0_clustering_coefficient_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
down_incidence-2_dirichlet_energy_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
2-down_incidence-2_spectral_radius_min,0.614509867799027,0.03349178414919414,12,0.1622497824018074,False
down_adjacency-2_clustering_coefficient_mean,0.6115766297251507,0.0455630295202215,11,0.1622497824018074,False
2-down_incidence-2_spectral_gap_max,0.6115766297251507,0.0455630295202215,11,0.1622497824018074,False
2-up_incidence-0_spectral_gap_max,0.6115766297251507,0.0455630295202215,11,0.1622497824018074,False
2-down_adjacency-2_clustering_coefficient_mean,0.6115766297251507,0.0455630295202215,11,0.1622497824018074,False
up_incidence-1_spectral_radius_mean,0.6077155435054972,0.04733068940475783,11,0.1622497824018074,False
2-up_incidence-0_spectral_radius_mean,0.6077155435054972,0.04733068940475783,11,0.1622497824018074,False
up_adjacency-1_spectral_gap_max,0.606503825175203,0.047895019535457405,11,0.1622497824018074,False
down_adjacency-1_degree_assortativity_max,-0.605078001466355,0.037105947220821965,12,0.1622497824018074,False
down_adjacency-1_spectral_radius_mean,0.5979594367432214,0.040011845483481766,12,0.1622497824018074,False
up_incidence-0_spectral_radius_mean,0.5979594367432214,0.040011845483481766,12,0.1622497824018074,False
down_incidence-1_spectral_radius_mean,0.5979594367432214,0.040011845483481766,12,0.1622497824018074,False
down_adjacency-2_clustering_coefficient_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-down_adjacency-2_spectral_radius_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_incidence-1_effective_diameter_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_incidence-1_spectral_radius_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_incidence-1_spectral_gap_max,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_incidence-1_degree_assortativity_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_incidence-1_kirchhoff_index_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-up_incidence-0_spectral_radius_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-up_incidence-0_degree_assortativity_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-up_incidence-0_effective_diameter_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-up_incidence-0_kirchhoff_index_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
down_incidence-2_spectral_gap_max,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
down_incidence-2_degree_assortativity_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
down_incidence-2_effective_diameter_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
down_incidence-2_kirchhoff_index_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-down_incidence-2_degree_assortativity_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-down_incidence-2_effective_diameter_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-down_incidence-2_kirchhoff_index_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
down_adjacency-2_spectral_radius_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-down_adjacency-2_clustering_coefficient_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
2-up_adjacency-0_kirchhoff_index_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_adjacency-1_effective_diameter_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_adjacency-1_kirchhoff_index_min,0.5976143046671968,0.05217724279881912,11,0.1622497824018074,False
up_adjacency-0_effective_diameter_min,-0.5938335379717864,0.041768220830703875,12,0.1622497824018074,False
down_adjacency-1_spectral_gap_max,0.5908408720200878,0.04307591981919784,12,0.1622497824018074,False
up_adjacency-0_spectral_gap_min,0.5883484054145521,0.04418696218757281,12,0.1622497824018074,False
up_incidence-0_effective_diameter_max,-0.5837223072969543,0.04630254471979609,12,0.1622497824018074,False
up_adjacency-0_effective_diameter_max,-0.5837223072969543,0.04630254471979609,12,0.1622497824018074,False
down_adjacency-1_effective_diameter_max,-0.5837223072969543,0.04630254471979609,12,0.1622497824018074,False
down_incidence-1_effective_diameter_max,-0.5837223072969543,0.04630254471979609,12,0.1622497824018074,False
down_adjacency-2_clustering_coefficient_max,0.5773502691896257,0.06290250798993907,11,0.17413255260629476,False
2-down_adjacency-2_clustering_coefficient_max,0.5773502691896257,0.06290250798993907,11,0.17413255260629476,False
down_adjacency-1_degree_assortativity_mean,-0.5766037425738206,0.049696029793334144,12,0.1622497824018074,False
up_adjacency-1_spectral_gap_mean,0.5720775535473553,0.06592005504483119,11,0.1781411011330557,False
up_adjacency-1_spectral_radius_max,0.5691381811394921,0.053438815968518356,12,0.16392717871423876,False
down_adjacency-2_dirichlet_energy_mean,0.5581278304681095,0.0593122859659051,12,0.17261396043923663,False
2-down_adjacency-2_dirichlet_energy_max,0.5581278304681095,0.0593122859659051,12,0.17261396043923663,False
down_adjacency-2_dirichlet_energy_max,0.5581278304681095,0.0593122859659051,12,0.17261396043923663,False
2-down_adjacency-2_dirichlet_energy_mean,0.5581278304681095,0.0593122859659051,12,0.17261396043923663,False
up_incidence-0_degree_assortativity_max,-0.5552480484044199,0.060919625341362325,12,0.17285943690611558,False
down_incidence-1_degree_assortativity_max,-0.5552480484044199,0.060919625341362325,12,0.17285943690611558,False
up_adjacency-0_spectral_radius_max,0.5481294836812863,0.06502211136411405,12,0.17783155758619143,False
down_adjacency-1_kirchhoff_index_max,-0.5338923542350191,0.0737924589866295,12,0.18407569439521865,False
down_incidence-1_kirchhoff_index_max,-0.5338923542350191,0.0737924589866295,12,0.18407569439521865,False
up_adjacency-0_kirchhoff_index_max,-0.5338923542350191,0.0737924589866295,12,0.18407569439521865,False
up_incidence-0_kirchhoff_index_max,-0.5338923542350191,0.0737924589866295,12,0.18407569439521865,False
down_adjacency-1_spectral_radius_min,0.5312964388288985,0.07547465881975889,12,0.18622551687049205,False
down_adjacency-1_clustering_coefficient_min,0.5173983464904474,0.08492832546659074,12,0.20729817076253867,False
2-up_adjacency-0_spectral_gap_max,0.5148697981926198,0.10509407974819766,11,0.25111953792464076,False
2-up_adjacency-0_spectral_gap_min,0.5096471914376255,0.10928460186126143,11,0.25841254815110776,False
2-up_adjacency-0_clustering_coefficient_max,0.5048713746045669,0.09411060180630709,12,0.22726709159608202,False
up_incidence-1_spectral_radius_max,0.500567859353936,0.1168244093715204,11,0.26317467149849183,False
up_adjacency-1_degree_assortativity_mean,-0.4944256898154117,0.12211025607629834,11,0.26317467149849183,False
2-down_adjacency-2_spectral_radius_mean,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
down_adjacency-2_spectral_radius_max,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
down_incidence-2_degree_assortativity_max,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
up_incidence-1_degree_assortativity_max,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
up_incidence-1_degree_assortativity_mean,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
up_adjacency-1_kirchhoff_index_mean,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
down_incidence-2_degree_assortativity_mean,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
up_incidence-1_kirchhoff_index_mean,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
down_adjacency-2_spectral_radius_mean,0.4891159880445185,0.1268012071887413,11,0.26317467149849183,False
up_adjacency-0_spectral_radius_mean,0.484062401173084,0.11079739837956108,12,0.2592887570325811,False
down_adjacency-1_dirichlet_energy_min,0.4783952832583796,0.11565989881583377,12,0.26317467149849183,False
down_incidence-2_kirchhoff_index_mean,0.4767312946227961,0.13818475535118324,11,0.2775923846435274,False
2-up_incidence-0_spectral_gap_mean,0.4710173343663663,0.14364719302783183,11,0.2835470679766767,False
2-down_incidence-2_spectral_gap_mean,0.4710173343663663,0.14364719302783183,11,0.2835470679766767,False
2-up_adjacency-0_spectral_radius_max,0.463363742915211,0.12923242180036001,12,0.26317467149849183,False
down_incidence-2_spectral_radius_max,0.463363742915211,0.12923242180036001,12,0.26317467149849183,False
up_adjacency-0_dirichlet_energy_max,-0.4627067070036832,0.12984829606974047,12,0.26317467149849183,False
