Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_adjacency-2_spectral_gap_mean,0.8451542547285165,0.03410942316740967,6,0.19381451619400317,False
up_adjacency-1_clustering_coefficient_mean,0.8186349431603627,0.0011298473773867083,12,0.02249717036061111,True
2-up_adjacency-0_clustering_coefficient_mean,0.8186349431603627,0.0011298473773867083,12,0.02249717036061111,True
up_adjacency-0_clustering_coefficient_mean,0.8186349431603627,0.0011298473773867083,12,0.02249717036061111,True
up_adjacency-1_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.02249717036061111,True
2-up_adjacency-0_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.02249717036061111,True
down_incidence-2_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.02249717036061111,True
2-down_incidence-2_dirichlet_energy_mean,0.7830421195446948,0.002595827349301282,12,0.02249717036061111,True
down_incidence-2_dirichlet_energy_mean,0.7830421195446948,0.002595827349301282,12,0.02249717036061111,True
2-down_incidence-2_spectral_radius_mean,0.7830421195446948,0.002595827349301282,12,0.02249717036061111,True
down_adjacency-2_spectral_gap_mean,0.7775419143502353,0.06872694144108958,6,0.22336255968354113,False
down_adjacency-1_clustering_coefficient_mean,0.7118564723133589,0.009408425594320844,12,0.07338571963570259,False
down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.3094093478869506,False
2-down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.3094093478869506,False
up_adjacency-0_degree_assortativity_mean,-0.7047379075902253,0.010488822607963074,12,0.07437528758373817,False
down_adjacency-2_clustering_coefficient_mean,0.6115766297251507,0.0455630295202215,11,0.19381451619400317,False
2-down_adjacency-2_clustering_coefficient_mean,0.6115766297251507,0.0455630295202215,11,0.19381451619400317,False
2-up_incidence-0_spectral_radius_mean,0.6077155435054972,0.04733068940475783,11,0.19381451619400317,False
up_incidence-1_spectral_radius_mean,0.6077155435054972,0.04733068940475783,11,0.19381451619400317,False
down_incidence-1_spectral_radius_mean,0.5979594367432214,0.040011845483481766,12,0.19381451619400317,False
up_incidence-0_spectral_radius_mean,0.5979594367432214,0.040011845483481766,12,0.19381451619400317,False
down_adjacency-1_spectral_radius_mean,0.5979594367432214,0.040011845483481766,12,0.19381451619400317,False
down_adjacency-1_degree_assortativity_mean,-0.5766037425738206,0.049696029793334144,12,0.19381451619400317,False
up_adjacency-1_spectral_gap_mean,0.5720775535473553,0.06592005504483119,11,0.22336255968354113,False
down_adjacency-2_dirichlet_energy_mean,0.5581278304681095,0.0593122859659051,12,0.21028901387911808,False
2-down_adjacency-2_dirichlet_energy_mean,0.5581278304681095,0.0593122859659051,12,0.21028901387911808,False
up_adjacency-1_degree_assortativity_mean,-0.4944256898154117,0.12211025607629834,11,0.30907794252255694,False
up_incidence-1_degree_assortativity_mean,0.4891159880445185,0.1268012071887413,11,0.30907794252255694,False
2-down_adjacency-2_spectral_radius_mean,0.4891159880445185,0.1268012071887413,11,0.30907794252255694,False
up_adjacency-1_kirchhoff_index_mean,0.4891159880445185,0.1268012071887413,11,0.30907794252255694,False
down_adjacency-2_spectral_radius_mean,0.4891159880445185,0.1268012071887413,11,0.30907794252255694,False
down_incidence-2_degree_assortativity_mean,0.4891159880445185,0.1268012071887413,11,0.30907794252255694,False
up_incidence-1_kirchhoff_index_mean,0.4891159880445185,0.1268012071887413,11,0.30907794252255694,False
up_adjacency-0_spectral_radius_mean,0.484062401173084,0.11079739837956108,12,0.30907794252255694,False
down_incidence-2_kirchhoff_index_mean,0.4767312946227961,0.13818475535118324,11,0.3094093478869506,False
2-up_incidence-0_spectral_gap_mean,0.4710173343663663,0.14364719302783183,11,0.3094093478869506,False
2-down_incidence-2_spectral_gap_mean,0.4710173343663663,0.14364719302783183,11,0.3094093478869506,False
down_incidence-2_spectral_gap_mean,-0.46169025843831935,0.15285159803066892,11,0.3094093478869506,False
up_incidence-1_spectral_gap_mean,-0.46169025843831935,0.15285159803066892,11,0.3094093478869506,False
up_adjacency-0_spectral_gap_mean,0.4413510128342825,0.15091472285393887,12,0.3094093478869506,False
down_incidence-1_spectral_gap_mean,0.4271138833880153,0.1661050662537702,12,0.3094093478869506,False
down_adjacency-1_spectral_gap_mean,0.4271138833880153,0.1661050662537702,12,0.3094093478869506,False
up_incidence-0_spectral_gap_mean,0.4271138833880153,0.1661050662537702,12,0.3094093478869506,False
2-up_adjacency-0_spectral_gap_mean,0.41952353926806063,0.19897996222447517,11,0.3094093478869506,False
up_adjacency-0_dirichlet_energy_mean,-0.3986396244954809,0.19928841290498123,12,0.3094093478869506,False
down_incidence-2_effective_diameter_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
up_adjacency-1_effective_diameter_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-up_incidence-0_kirchhoff_index_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-up_incidence-0_effective_diameter_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-up_adjacency-0_effective_diameter_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-up_incidence-0_degree_assortativity_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-up_adjacency-0_kirchhoff_index_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-down_incidence-2_degree_assortativity_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-down_incidence-2_kirchhoff_index_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
2-down_incidence-2_effective_diameter_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
up_incidence-1_effective_diameter_mean,0.3912927904356148,0.23404040417089852,11,0.3094093478869506,False
down_adjacency-1_kirchhoff_index_mean,-0.3844024950492138,0.21729649021825176,12,0.3094093478869506,False
up_incidence-0_degree_assortativity_mean,-0.3772839303260802,0.22665643326935325,12,0.3094093478869506,False
down_incidence-1_degree_assortativity_mean,-0.3772839303260802,0.22665643326935325,12,0.3094093478869506,False
up_adjacency-0_effective_diameter_mean,-0.363046800879813,0.246088522883556,12,0.3095952384664092,False
up_incidence-0_effective_diameter_mean,-0.363046800879813,0.246088522883556,12,0.3095952384664092,False
down_incidence-1_effective_diameter_mean,-0.363046800879813,0.246088522883556,12,0.3095952384664092,False
up_adjacency-0_kirchhoff_index_mean,-0.34880967143354585,0.2664684450562716,12,0.3197621340675259,False
up_incidence-0_kirchhoff_index_mean,-0.34880967143354585,0.2664684450562716,12,0.3197621340675259,False
down_incidence-1_kirchhoff_index_mean,-0.34880967143354585,0.2664684450562716,12,0.3197621340675259,False
down_adjacency-1_effective_diameter_mean,-0.3203354125410115,0.31004896565891843,12,0.3664215048696309,False
down_incidence-1_dirichlet_energy_mean,0.28474258892534354,0.3697010809676205,12,0.4303982733652896,False
up_incidence-0_dirichlet_energy_mean,0.2349126358634084,0.46237319839801755,12,0.5303692569859613,False
up_incidence-1_dirichlet_energy_mean,0.2326210525996177,0.4912398286762539,11,0.5553145889383739,False
down_adjacency-2_kirchhoff_index_mean,0.1690308509457033,0.7488684500235266,6,0.7488684500235266,False
down_adjacency-2_effective_diameter_mean,0.1690308509457033,0.7488684500235266,6,0.7488684500235266,False
2-up_adjacency-0_degree_assortativity_mean,0.1690308509457033,0.7488684500235266,6,0.7488684500235266,False
2-down_adjacency-2_effective_diameter_mean,0.1690308509457033,0.7488684500235266,6,0.7488684500235266,False
2-down_adjacency-2_kirchhoff_index_mean,0.1690308509457033,0.7488684500235266,6,0.7488684500235266,False
up_adjacency-1_dirichlet_energy_mean,-0.1595250324386482,0.6204381188090293,12,0.6816080741845675,False
2-up_adjacency-0_dirichlet_energy_mean,-0.1595250324386482,0.6204381188090293,12,0.6816080741845675,False
2-up_incidence-0_dirichlet_energy_mean,0.13957263155977062,0.6823238520562256,11,0.739184173060911,False
down_adjacency-1_dirichlet_energy_mean,0.121015600293271,0.7079272414616193,12,0.7488684500235266,False
