Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-up_adjacency-0_clustering_coefficient_mean,-0.9523809523809524,0.00026040002438725105,8,0.02734200256066136,True
up_adjacency-1_clustering_coefficient_mean,-0.9523809523809524,0.00026040002438725105,8,0.02734200256066136,True
up_adjacency-1_clustering_coefficient_max,0.8455943246644704,0.008170171744914216,8,0.20549192341831868,False
down_adjacency-1_clustering_coefficient_min,-0.8455943246644704,0.008170171744914216,8,0.20549192341831868,False
up_incidence-1_kirchhoff_index_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
up_adjacency-1_kirchhoff_index_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
2-down_incidence-2_kirchhoff_index_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
2-up_adjacency-0_kirchhoff_index_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
down_incidence-2_kirchhoff_index_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
up_incidence-1_spectral_radius_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
2-up_incidence-0_spectral_radius_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
2-up_incidence-0_kirchhoff_index_min,-0.8247860988423227,0.011742395623903924,8,0.20549192341831868,False
down_adjacency-1_spectral_radius_min,-0.730552019767088,0.039555627904297515,8,0.638975527684806,False
down_incidence-1_degree_assortativity_mean,0.6666666666666669,0.07098765432098751,8,0.8138974277701407,False
up_incidence-0_degree_assortativity_mean,0.6666666666666669,0.07098765432098751,8,0.8138974277701407,False
2-up_adjacency-0_clustering_coefficient_max,0.6546536707079772,0.07814074941121574,8,0.8138974277701407,False
up_adjacency-1_degree_assortativity_max,0.6467181814331598,0.08308772479827897,8,0.8138974277701407,False
up_adjacency-0_spectral_gap_min,-0.6467181814331598,0.08308772479827897,8,0.8138974277701407,False
2-up_adjacency-0_degree_assortativity_max,0.6273764344284781,0.09589144448932284,8,0.8138974277701407,False
2-up_adjacency-0_degree_assortativity_mean,0.5952380952380953,0.11952980613879259,8,0.8138974277701407,False
up_incidence-0_degree_assortativity_max,0.5952380952380953,0.11952980613879259,8,0.8138974277701407,False
down_incidence-1_degree_assortativity_max,0.5952380952380953,0.11952980613879259,8,0.8138974277701407,False
up_adjacency-1_degree_assortativity_mean,0.5952380952380953,0.11952980613879259,8,0.8138974277701407,False
2-up_adjacency-0_spectral_radius_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
2-down_incidence-2_dirichlet_energy_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
up_adjacency-1_clustering_coefficient_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
down_adjacency-1_dirichlet_energy_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
2-down_incidence-2_spectral_radius_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
down_incidence-2_dirichlet_energy_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
up_adjacency-1_spectral_radius_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
down_incidence-2_spectral_radius_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
2-up_adjacency-0_clustering_coefficient_min,-0.5773502691896258,0.13397459621556113,8,0.8138974277701407,False
down_adjacency-1_clustering_coefficient_max,0.5748606057183643,0.1360582623880914,8,0.8138974277701407,False
up_adjacency-0_spectral_radius_min,-0.5707645756108212,0.13952527333202414,8,0.8138974277701407,False
up_incidence-0_spectral_radius_min,-0.5707645756108212,0.13952527333202414,8,0.8138974277701407,False
down_incidence-1_spectral_radius_min,-0.5707645756108212,0.13952527333202414,8,0.8138974277701407,False
down_incidence-1_spectral_gap_min,-0.5611425419454067,0.14786012226893983,8,0.8171217283283517,False
up_incidence-0_spectral_gap_min,-0.5611425419454067,0.14786012226893983,8,0.8171217283283517,False
down_adjacency-1_effective_diameter_min,-0.5363499164507368,0.1705648974534581,8,0.8923571537986074,False
down_adjacency-1_degree_assortativity_min,-0.5301589619830679,0.1765098301165559,8,0.8923571537986074,False
down_adjacency-1_kirchhoff_index_min,-0.5301589619830679,0.1765098301165559,8,0.8923571537986074,False
down_incidence-2_dirichlet_energy_mean,0.523809523809524,0.18272075053971484,8,0.8923571537986074,False
2-down_incidence-2_dirichlet_energy_mean,0.523809523809524,0.18272075053971484,8,0.8923571537986074,False
down_adjacency-1_spectral_gap_min,-0.51234753829798,0.1942234213599954,8,0.9269754201272508,False
up_incidence-0_kirchhoff_index_min,-0.494662632196045,0.21270051737141588,8,0.9330650018981101,False
down_incidence-1_kirchhoff_index_min,-0.494662632196045,0.21270051737141588,8,0.9330650018981101,False
down_incidence-1_effective_diameter_mean,0.4761904761904762,0.23293553465009798,8,0.9330650018981101,False
up_incidence-0_effective_diameter_mean,0.4761904761904762,0.23293553465009798,8,0.9330650018981101,False
up_adjacency-0_effective_diameter_mean,0.4761904761904762,0.23293553465009798,8,0.9330650018981101,False
up_adjacency-0_spectral_gap_mean,-0.4523809523809524,0.260404767436885,8,0.9330650018981101,False
down_adjacency-2_spectral_gap_mean,-0.4523809523809524,0.260404767436885,8,0.9330650018981101,False
down_adjacency-1_effective_diameter_mean,0.4285714285714286,0.2894032248467901,8,0.9330650018981101,False
