Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-up_incidence-0_spectral_gap_mean,0.7221969279317811,0.0003234525700784082,20,0.01261465023305792,True
2-down_incidence-2_spectral_gap_mean,0.7221969279317811,0.0003234525700784082,20,0.01261465023305792,True
2-up_adjacency-0_spectral_gap_mean,0.6586072613214355,0.0015907141325235958,20,0.03101892558421012,True
up_adjacency-1_spectral_gap_mean,0.6586072613214355,0.0015907141325235958,20,0.03101892558421012,True
down_adjacency-1_degree_assortativity_mean,-0.5919895153486926,0.005962294823880562,20,0.09301179925253678,False
up_adjacency-0_dirichlet_energy_mean,-0.5374840868255394,0.014522607314475204,20,0.16607048609123082,False
down_adjacency-1_clustering_coefficient_mean,0.5223436900135523,0.018143802972102364,20,0.16607048609123082,False
up_adjacency-1_dirichlet_energy_mean,-0.5102313725639628,0.02153194976748274,20,0.16607048609123082,False
up_adjacency-0_clustering_coefficient_mean,0.4950909757519757,0.026453745911118046,20,0.16607048609123082,False
down_adjacency-2_dirichlet_energy_mean,-0.48903481702718093,0.028654492276487427,20,0.16607048609123082,False
2-down_adjacency-2_dirichlet_energy_mean,-0.48903481702718093,0.028654492276487427,20,0.16607048609123082,False
2-up_incidence-0_spectral_radius_mean,0.48600673766478353,0.029807523144579892,20,0.16607048609123082,False
down_incidence-2_degree_assortativity_mean,0.48600673766478353,0.029807523144579892,20,0.16607048609123082,False
up_incidence-1_degree_assortativity_mean,0.48600673766478353,0.029807523144579892,20,0.16607048609123082,False
2-up_adjacency-0_dirichlet_energy_mean,-0.4648101821280016,0.03893182892791338,20,0.1969250467974525,False
2-down_incidence-2_spectral_radius_mean,0.4617821027656042,0.040394881394349234,20,0.1969250467974525,False
2-down_adjacency-2_clustering_coefficient_mean,0.44664170595361724,0.048358664553101206,20,0.20955421306343855,False
2-down_adjacency-2_spectral_radius_mean,0.44664170595361724,0.048358664553101206,20,0.20955421306343855,False
down_adjacency-2_spectral_radius_mean,0.4405855472288224,0.051861313206140396,20,0.21290433842520795,False
2-down_adjacency-2_spectral_gap_mean,0.41938899169204064,0.06566177421303544,20,0.23207060037381158,False
2-up_adjacency-0_kirchhoff_index_mean,-0.40424859488005355,0.07709461520470852,20,0.23207060037381158,False
2-up_incidence-0_effective_diameter_mean,-0.40424859488005355,0.07709461520470852,20,0.23207060037381158,False
2-down_incidence-2_effective_diameter_mean,-0.40424859488005355,0.07709461520470852,20,0.23207060037381158,False
down_incidence-1_spectral_radius_mean,0.40122051551765614,0.07954855152112875,20,0.23207060037381158,False
down_adjacency-1_spectral_radius_mean,0.40122051551765614,0.07954855152112875,20,0.23207060037381158,False
up_incidence-0_spectral_radius_mean,0.40122051551765614,0.07954855152112875,20,0.23207060037381158,False
up_adjacency-0_spectral_radius_mean,0.39819243615525873,0.08206000468721444,20,0.23207060037381158,False
down_adjacency-1_kirchhoff_index_mean,-0.38910819806806657,0.08994671948504052,20,0.23207060037381158,False
up_incidence-0_kirchhoff_index_mean,-0.3709397218936821,0.10736922051806316,20,0.23207060037381158,False
down_incidence-1_kirchhoff_index_mean,-0.3709397218936821,0.10736922051806316,20,0.23207060037381158,False
up_adjacency-0_kirchhoff_index_mean,-0.3709397218936821,0.10736922051806316,20,0.23207060037381158,False
down_incidence-2_dirichlet_energy_mean,-0.36185548380648985,0.11694159281756061,20,0.23207060037381158,False
2-down_incidence-2_dirichlet_energy_mean,-0.36185548380648985,0.11694159281756061,20,0.23207060037381158,False
down_adjacency-2_degree_assortativity_mean,-0.3557993250816951,0.12365389973562922,20,0.23207060037381158,False
down_adjacency-2_spectral_gap_mean,0.3557993250816951,0.12365389973562922,20,0.23207060037381158,False
up_adjacency-1_spectral_radius_mean,0.3557993250816951,0.12365389973562922,20,0.23207060037381158,False
up_adjacency-0_spectral_gap_mean,0.3557993250816951,0.12365389973562922,20,0.23207060037381158,False
2-down_adjacency-2_degree_assortativity_mean,0.3557993250816951,0.12365389973562922,20,0.23207060037381158,False
down_adjacency-1_effective_diameter_mean,-0.33763084890731065,0.14543059634675126,20,0.23207060037381158,False
down_adjacency-2_kirchhoff_index_mean,0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
up_incidence-0_effective_diameter_mean,-0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
up_adjacency-0_effective_diameter_mean,-0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
down_incidence-1_effective_diameter_mean,-0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
2-up_adjacency-0_degree_assortativity_mean,-0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
2-down_adjacency-2_kirchhoff_index_mean,0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
down_adjacency-2_effective_diameter_mean,0.33460276954491325,0.14930500956496917,20,0.23207060037381158,False
up_incidence-1_spectral_radius_mean,0.33157469018251584,0.15325079921823195,20,0.23207060037381158,False
2-down_incidence-2_degree_assortativity_mean,0.33157469018251584,0.15325079921823195,20,0.23207060037381158,False
2-up_incidence-0_degree_assortativity_mean,0.33157469018251584,0.15325079921823195,20,0.23207060037381158,False
2-down_incidence-2_kirchhoff_index_mean,0.31946237273292627,0.16975721212712766,20,0.23207060037381158,False
up_incidence-1_kirchhoff_index_mean,0.31946237273292627,0.16975721212712766,20,0.23207060037381158,False
up_adjacency-1_kirchhoff_index_mean,0.31946237273292627,0.16975721212712766,20,0.23207060037381158,False
down_incidence-2_kirchhoff_index_mean,0.31946237273292627,0.16975721212712766,20,0.23207060037381158,False
2-up_incidence-0_kirchhoff_index_mean,0.31946237273292627,0.16975721212712766,20,0.23207060037381158,False
down_adjacency-1_dirichlet_energy_mean,-0.3164342933705288,0.17406685979369715,20,0.23207060037381158,False
up_incidence-1_effective_diameter_mean,0.3134062140081314,0.17845055883985733,20,0.23207060037381158,False
down_incidence-2_effective_diameter_mean,0.3134062140081314,0.17845055883985733,20,0.23207060037381158,False
up_adjacency-1_effective_diameter_mean,0.3134062140081314,0.17845055883985733,20,0.23207060037381158,False
down_adjacency-1_spectral_gap_mean,0.30735005528333664,0.1874416387634632,20,0.23207060037381158,False
down_incidence-2_spectral_radius_mean,0.30735005528333664,0.1874416387634632,20,0.23207060037381158,False
down_incidence-1_spectral_gap_mean,0.30735005528333664,0.1874416387634632,20,0.23207060037381158,False
up_incidence-0_spectral_gap_mean,0.30735005528333664,0.1874416387634632,20,0.23207060037381158,False
up_adjacency-1_degree_assortativity_mean,-0.30735005528333664,0.1874416387634632,20,0.23207060037381158,False
up_adjacency-1_clustering_coefficient_mean,-0.30129389655854183,0.19673332582755385,20,0.23976874085233127,False
up_incidence-0_degree_assortativity_mean,-0.28312542038415733,0.22643623736263394,20,0.2676064623376583,False
down_incidence-1_degree_assortativity_mean,-0.28312542038415733,0.22643623736263394,20,0.2676064623376583,False
down_adjacency-2_clustering_coefficient_mean,0.27101310293456776,0.24778002404352725,20,0.28421826287345775,False
up_adjacency-0_degree_assortativity_mean,-0.27101310293456776,0.24778002404352725,20,0.28421826287345775,False
2-down_adjacency-2_effective_diameter_mean,-0.22861999186100407,0.33229132508426407,20,0.3756336718343855,False
2-up_adjacency-0_spectral_radius_mean,0.21953575377381185,0.35237517571497534,20,0.39264662436811537,False
up_incidence-0_dirichlet_energy_mean,-0.19228303951223524,0.41669573625473255,20,0.4532659843256655,False
2-up_incidence-0_dirichlet_energy_mean,-0.1892549601498378,0.4242104725099177,20,0.4532659843256655,False
up_incidence-1_dirichlet_energy_mean,-0.1892549601498378,0.4242104725099177,20,0.4532659843256655,False
down_incidence-2_spectral_gap_mean,0.13777761098908192,0.5624137665907791,20,0.5849103172544102,False
up_incidence-1_spectral_gap_mean,0.13777761098908192,0.5624137665907791,20,0.5849103172544102,False
2-up_adjacency-0_clustering_coefficient_mean,0.12566529353949232,0.5975642415170519,20,0.6132896162938164,False
down_incidence-1_dirichlet_energy_mean,-0.1226372141770949,0.6064920235767477,20,0.6143685433634587,False
2-up_adjacency-0_effective_diameter_mean,0.03785099202996756,0.8741169103786037,20,0.8741169103786037,False
