Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-up_adjacency-0_spectral_gap_mean,0.8898205903916986,0.00010599541411963579,12,0.011977481795518845,True
up_adjacency-1_spectral_gap_mean,0.8898205903916986,0.00010599541411963579,12,0.011977481795518845,True
2-up_incidence-0_spectral_gap_mean,0.847109202052897,0.0005060072238973722,12,0.018852041324527367,True
2-down_incidence-2_spectral_gap_mean,0.847109202052897,0.0005060072238973722,12,0.018852041324527367,True
up_adjacency-0_dirichlet_energy_max,-0.8399906373297635,0.000627336807821996,12,0.018852041324527367,True
up_adjacency-1_dirichlet_energy_max,-0.8165562717571663,0.00119165436690826,12,0.018852041324527367,True
2-up_adjacency-0_dirichlet_energy_max,-0.8165562717571663,0.00119165436690826,12,0.018852041324527367,True
2-up_adjacency-0_spectral_gap_max,-0.8094247759339596,0.0014236875104207162,12,0.018852041324527367,True
down_incidence-1_spectral_gap_min,0.8031202006964852,0.0016564009679013965,12,0.018852041324527367,True
up_incidence-0_spectral_gap_min,0.8031202006964852,0.0016564009679013965,12,0.018852041324527367,True
2-up_adjacency-0_spectral_radius_max,-0.802293280110753,0.00168896337169509,12,0.018852041324527367,True
up_adjacency-1_spectral_radius_max,-0.802293280110753,0.00168896337169509,12,0.018852041324527367,True
down_adjacency-2_degree_assortativity_max,-0.7939995932741809,0.002043413803131349,12,0.018852041324527367,True
2-down_incidence-2_spectral_radius_mean,0.7901606842678284,0.0022255407179782834,12,0.018852041324527367,True
up_adjacency-1_spectral_gap_max,-0.7887787685411909,0.002294049198490459,12,0.018852041324527367,True
down_adjacency-2_dirichlet_energy_max,-0.7880302884643394,0.002331821308474204,12,0.018852041324527367,True
down_incidence-2_dirichlet_energy_max,-0.7880302884643394,0.002331821308474204,12,0.018852041324527367,True
2-down_adjacency-2_dirichlet_energy_max,-0.7880302884643394,0.002331821308474204,12,0.018852041324527367,True
up_incidence-0_dirichlet_energy_max,-0.7880302884643394,0.002331821308474204,12,0.018852041324527367,True
2-down_incidence-2_dirichlet_energy_max,-0.7880302884643394,0.002331821308474204,12,0.018852041324527367,True
down_adjacency-1_clustering_coefficient_mean,0.7830421195446948,0.0025958273493012817,12,0.018852041324527367,True
up_incidence-1_degree_assortativity_mean,0.7830421195446948,0.0025958273493012817,12,0.018852041324527367,True
down_incidence-2_degree_assortativity_mean,0.7830421195446948,0.0025958273493012817,12,0.018852041324527367,True
down_adjacency-1_dirichlet_energy_max,-0.7830421195446948,0.0025958273493012817,12,0.018852041324527367,True
down_adjacency-1_degree_assortativity_mean,-0.7830421195446948,0.0025958273493012817,12,0.018852041324527367,True
2-up_incidence-0_spectral_radius_mean,0.7830421195446948,0.0025958273493012817,12,0.018852041324527367,True
down_incidence-1_dirichlet_energy_max,-0.7808987926411329,0.0027160169339049338,12,0.018852041324527367,True
2-up_adjacency-0_spectral_gap_min,0.7808987926411329,0.0027160169339049338,12,0.018852041324527367,True
up_incidence-0_effective_diameter_max,-0.7759235548215613,0.003011348153570487,12,0.018852041324527367,True
down_incidence-1_effective_diameter_max,-0.7759235548215613,0.003011348153570487,12,0.018852041324527367,True
up_adjacency-0_effective_diameter_max,-0.7759235548215613,0.003011348153570487,12,0.018852041324527367,True
down_adjacency-1_effective_diameter_max,-0.7759235548215613,0.003011348153570487,12,0.018852041324527367,True
2-up_adjacency-0_clustering_coefficient_min,0.7734057079343803,0.0031698122581063715,12,0.018852041324527367,True
down_adjacency-1_dirichlet_energy_min,0.7734057079343803,0.0031698122581063715,12,0.018852041324527367,True
up_adjacency-1_clustering_coefficient_min,0.7734057079343803,0.0031698122581063715,12,0.018852041324527367,True
down_incidence-2_dirichlet_energy_min,0.7734057079343803,0.0031698122581063715,12,0.018852041324527367,True
2-down_incidence-2_dirichlet_energy_min,0.7734057079343803,0.0031698122581063715,12,0.018852041324527367,True
2-down_incidence-2_spectral_radius_min,0.7734057079343803,0.0031698122581063715,12,0.018852041324527367,True
up_adjacency-0_dirichlet_energy_mean,-0.7688049900984276,0.0034756600087814103,12,0.019518883915794722,True
up_adjacency-0_degree_assortativity_max,-0.7688049900984276,0.0034756600087814103,12,0.019518883915794722,True
up_incidence-1_dirichlet_energy_max,-0.7666358009947195,0.00362740320559017,12,0.019518883915794722,True
2-up_incidence-0_dirichlet_energy_max,-0.7666358009947195,0.00362740320559017,12,0.019518883915794722,True
down_adjacency-1_spectral_gap_min,0.7600959042306021,0.004115448716741438,12,0.020902134873331864,True
2-up_incidence-0_spectral_gap_min,0.7595043051715127,0.004161929510176699,12,0.020902134873331864,True
2-down_incidence-2_spectral_gap_min,0.7595043051715127,0.004161929510176699,12,0.020902134873331864,True
down_adjacency-1_degree_assortativity_max,-0.7545678606521604,0.004565447576225069,12,0.022430242439714466,True
up_incidence-0_spectral_radius_min,0.7432416284073382,0.005602704555551655,12,0.025841045501115795,True
up_adjacency-0_spectral_radius_min,0.7432416284073382,0.005602704555551655,12,0.025841045501115795,True
down_incidence-1_spectral_radius_min,0.7432416284073382,0.005602704555551655,12,0.025841045501115795,True
down_incidence-1_kirchhoff_index_max,-0.7332121664827596,0.006661231910630956,12,0.026188690064691596,True
down_adjacency-2_spectral_radius_mean,0.7332121664827596,0.006661231910630956,12,0.026188690064691596,True
up_incidence-0_kirchhoff_index_max,-0.7332121664827596,0.006661231910630956,12,0.026188690064691596,True
down_adjacency-1_kirchhoff_index_max,-0.7332121664827596,0.006661231910630956,12,0.026188690064691596,True
