Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-up_adjacency-0_spectral_gap_mean,0.8898205903916986,0.00010599541411963579,12,0.004133821150665796,True
up_adjacency-1_spectral_gap_mean,0.8898205903916986,0.00010599541411963579,12,0.004133821150665796,True
2-down_incidence-2_spectral_gap_mean,0.847109202052897,0.0005060072238973722,12,0.009867140865998757,True
2-up_incidence-0_spectral_gap_mean,0.847109202052897,0.0005060072238973722,12,0.009867140865998757,True
2-down_incidence-2_spectral_radius_mean,0.7901606842678284,0.0022255407179782834,12,0.02024745332455,True
down_adjacency-1_clustering_coefficient_mean,0.7830421195446948,0.0025958273493012817,12,0.02024745332455,True
down_incidence-2_degree_assortativity_mean,0.7830421195446948,0.0025958273493012817,12,0.02024745332455,True
2-up_incidence-0_spectral_radius_mean,0.7830421195446948,0.0025958273493012817,12,0.02024745332455,True
up_incidence-1_degree_assortativity_mean,0.7830421195446948,0.0025958273493012817,12,0.02024745332455,True
down_adjacency-1_degree_assortativity_mean,-0.7830421195446948,0.0025958273493012817,12,0.02024745332455,True
up_adjacency-0_dirichlet_energy_mean,-0.7688049900984276,0.0034756600087814103,12,0.024645589153177272,True
down_adjacency-2_spectral_radius_mean,0.7332121664827596,0.006661231910630956,12,0.03860203588754614,True
down_adjacency-2_dirichlet_energy_mean,-0.726093601759626,0.007498968099572705,12,0.03860203588754614,True
2-down_adjacency-2_dirichlet_energy_mean,-0.726093601759626,0.007498968099572705,12,0.03860203588754614,True
2-down_adjacency-2_clustering_coefficient_mean,0.7189750370364925,0.008413264231901082,12,0.03860203588754614,True
2-down_adjacency-2_spectral_radius_mean,0.7189750370364925,0.008413264231901082,12,0.03860203588754614,True
up_adjacency-1_dirichlet_energy_mean,-0.7189750370364925,0.008413264231901082,12,0.03860203588754614,True
down_adjacency-2_degree_assortativity_mean,-0.690500778143958,0.012923089570428715,12,0.056000054805191095,False
2-down_adjacency-2_spectral_gap_mean,0.6691450839745572,0.017325990754414527,12,0.06142851267474241,False
2-up_adjacency-0_dirichlet_energy_mean,-0.6691450839745572,0.017325990754414527,12,0.06142851267474241,False
down_incidence-2_dirichlet_energy_mean,-0.6691450839745572,0.017325990754414527,12,0.06142851267474241,False
2-down_incidence-2_dirichlet_energy_mean,-0.6691450839745572,0.017325990754414527,12,0.06142851267474241,False
