Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_adjacency-2_kirchhoff_index_min,0.7452413135250995,0.0022212578842061136,14,0.03361503598098585,True
down_adjacency-2_kirchhoff_index_min,0.7452413135250995,0.0022212578842061136,14,0.03361503598098585,True
2-down_adjacency-2_clustering_coefficient_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
2-down_adjacency-2_spectral_radius_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
up_incidence-1_effective_diameter_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
up_incidence-1_degree_assortativity_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
up_adjacency-1_effective_diameter_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
down_incidence-2_degree_assortativity_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
2-up_incidence-0_effective_diameter_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
down_incidence-2_effective_diameter_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
down_adjacency-2_clustering_coefficient_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
down_adjacency-2_spectral_radius_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
2-down_incidence-2_degree_assortativity_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
2-down_incidence-2_effective_diameter_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
2-up_incidence-0_degree_assortativity_min,0.6599663291074443,0.002106389810638918,19,0.03361503598098585,True
up_adjacency-0_clustering_coefficient_min,0.628654727904987,0.0029888394775114792,20,0.04240416008719411,True
2-down_adjacency-2_degree_assortativity_min,0.6156370310572244,0.025090509478737127,13,0.14603963209418788,False
2-down_incidence-2_spectral_gap_mean,0.60467876733593,0.006095929689001425,19,0.06016417562623146,False
2-up_incidence-0_spectral_gap_mean,0.60467876733593,0.006095929689001425,19,0.06016417562623146,False
up_adjacency-0_effective_diameter_max,-0.5919895153486926,0.0059622948238805635,20,0.06016417562623146,False
up_incidence-0_effective_diameter_max,-0.5919895153486926,0.0059622948238805635,20,0.06016417562623146,False
down_adjacency-1_effective_diameter_max,-0.5919895153486926,0.0059622948238805635,20,0.06016417562623146,False
down_adjacency-1_degree_assortativity_mean,-0.5919895153486926,0.0059622948238805635,20,0.06016417562623146,False
down_incidence-1_effective_diameter_max,-0.5919895153486926,0.0059622948238805635,20,0.06016417562623146,False
down_adjacency-1_degree_assortativity_max,-0.5859333566238979,0.00663189694491112,20,0.06272669193728433,False
up_adjacency-1_dirichlet_energy_max,-0.563540586309383,0.009664802470749932,20,0.08775640643440939,False
down_adjacency-2_degree_assortativity_min,0.5599428901512684,0.04658186437523486,13,0.2122649263381342,False
up_adjacency-0_dirichlet_energy_max,-0.5526244836375265,0.011506996067064153,20,0.09855584623520898,False
up_adjacency-1_dirichlet_energy_mean,-0.5439550035241171,0.01316426960650091,20,0.09855584623520898,False
2-up_adjacency-0_dirichlet_energy_max,-0.5436125359347014,0.013233488534409093,20,0.09855584623520898,False
2-up_adjacency-0_dirichlet_energy_mean,-0.5394094185364503,0.014107180550903271,20,0.09855584623520898,False
up_adjacency-0_dirichlet_energy_mean,-0.5357659069552011,0.014901595547660147,20,0.09855584623520898,False
down_adjacency-1_dirichlet_energy_min,0.5354626718124088,0.0149692996808609,20,0.09855584623520898,False
down_incidence-1_kirchhoff_index_max,-0.5344560074631419,0.015195835322609316,20,0.09855584623520898,False
up_incidence-0_kirchhoff_index_max,-0.5344560074631419,0.015195835322609316,20,0.09855584623520898,False
up_adjacency-0_kirchhoff_index_max,-0.5344560074631419,0.015195835322609316,20,0.09855584623520898,False
down_adjacency-1_kirchhoff_index_max,-0.5344560074631419,0.015195835322609316,20,0.09855584623520898,False
2-up_adjacency-0_spectral_gap_min,0.5231790446298126,0.021527129817625577,19,0.12859627548950017,False
down_adjacency-1_clustering_coefficient_mean,0.5223436900135523,0.018143802972102347,20,0.11440675762964535,False
2-down_adjacency-2_spectral_gap_min,0.5195640434885404,0.05688875151531629,14,0.2334905019444856,False
