Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_incidence-2_spectral_gap_mean,0.60467876733593,0.006095929689001425,19,0.15849417191403706,False
2-up_incidence-0_spectral_gap_mean,0.60467876733593,0.006095929689001425,19,0.15849417191403706,False
down_adjacency-1_degree_assortativity_mean,-0.5919895153486926,0.0059622948238805635,20,0.15849417191403706,False
up_adjacency-1_dirichlet_energy_mean,-0.5439550035241171,0.01316426960650091,20,0.1937207421195819,False
2-up_adjacency-0_dirichlet_energy_mean,-0.5394094185364503,0.014107180550903271,20,0.1937207421195819,False
up_adjacency-0_dirichlet_energy_mean,-0.5357659069552011,0.014901595547660147,20,0.1937207421195819,False
down_adjacency-1_clustering_coefficient_mean,0.5223436900135523,0.018143802972102347,20,0.2021738045462833,False
up_adjacency-1_spectral_gap_mean,0.49824959900362,0.02991976134278106,19,0.2593045983041025,False
up_adjacency-0_clustering_coefficient_mean,0.4950909757519757,0.026453745911118015,20,0.25792402263340064,False
2-down_adjacency-2_spectral_gap_mean,0.44447188182721864,0.11131498594479405,14,0.3763962952000259,False
down_adjacency-2_spectral_gap_mean,0.4178035689175855,0.13714128744928797,14,0.3763962952000259,False
down_adjacency-1_spectral_radius_mean,0.40122051551765614,0.07954855152112875,20,0.3763962952000259,False
down_incidence-1_spectral_radius_mean,0.40122051551765614,0.07954855152112875,20,0.3763962952000259,False
up_incidence-0_spectral_radius_mean,0.40122051551765614,0.07954855152112875,20,0.3763962952000259,False
up_adjacency-0_spectral_radius_mean,0.39819243615525873,0.08206000468721433,20,0.3763962952000259,False
2-up_adjacency-0_spectral_gap_mean,0.39028076937938977,0.09853938135266037,19,0.3763962952000259,False
down_adjacency-1_kirchhoff_index_mean,-0.38910819806806657,0.0899467194850405,20,0.3763962952000259,False
2-down_adjacency-2_clustering_coefficient_mean,0.37591512947873834,0.11270404441643433,19,0.3763962952000259,False
up_incidence-0_kirchhoff_index_mean,-0.3709397218936821,0.10736922051806318,20,0.3763962952000259,False
down_incidence-1_kirchhoff_index_mean,-0.3709397218936821,0.10736922051806318,20,0.3763962952000259,False
up_adjacency-0_kirchhoff_index_mean,-0.3709397218936821,0.10736922051806318,20,0.3763962952000259,False
up_adjacency-0_spectral_gap_mean,0.3557993250816951,0.12365389973562914,20,0.3763962952000259,False
2-down_adjacency-2_spectral_radius_mean,0.34847542141427446,0.14370253514899184,19,0.3763962952000259,False
up_incidence-1_degree_assortativity_mean,0.34669748559073227,0.14589683212463017,19,0.3763962952000259,False
down_incidence-2_degree_assortativity_mean,0.34669748559073227,0.14589683212463017,19,0.3763962952000259,False
2-up_incidence-0_spectral_radius_mean,0.3465656976025747,0.14606040425756367,19,0.3763962952000259,False
down_adjacency-2_spectral_radius_mean,0.3413636781201056,0.15261917939654465,19,0.3763962952000259,False
up_adjacency-1_degree_assortativity_mean,-0.3399633049800279,0.15441899290257471,19,0.3763962952000259,False
