Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
down_adjacency-2_spectral_gap_max,0.8451542547285165,0.03410942316740967,6,0.08385280566363922,False
2-down_adjacency-2_spectral_gap_max,0.8451542547285165,0.03410942316740967,6,0.08385280566363922,False
2-down_adjacency-2_spectral_gap_mean,0.8451542547285165,0.03410942316740967,6,0.08385280566363922,False
up_adjacency-0_dirichlet_energy_max,-0.8399906373297635,0.0006273368078219968,12,0.02531825708972986,True
2-down_adjacency-2_kirchhoff_index_min,0.8280786712108251,0.041794680456045265,6,0.0958322471062856,False
down_adjacency-2_kirchhoff_index_min,0.8280786712108251,0.041794680456045265,6,0.0958322471062856,False
2-down_incidence-2_spectral_gap_mean,0.8207826816681234,0.001960174397065426,11,0.02531825708972986,True
2-up_incidence-0_spectral_gap_mean,0.8207826816681234,0.001960174397065426,11,0.02531825708972986,True
up_incidence-0_spectral_gap_min,0.8031202006964852,0.0016564009679013961,12,0.02531825708972986,True
down_incidence-1_spectral_gap_min,0.8031202006964852,0.0016564009679013961,12,0.02531825708972986,True
up_incidence-0_dirichlet_energy_max,-0.7880302884643394,0.0023318213084742045,12,0.02531825708972986,True
down_adjacency-1_clustering_coefficient_mean,0.7830421195446948,0.002595827349301282,12,0.02531825708972986,True
down_adjacency-1_dirichlet_energy_max,-0.7830421195446948,0.002595827349301282,12,0.02531825708972986,True
down_adjacency-1_degree_assortativity_mean,-0.7830421195446948,0.002595827349301282,12,0.02531825708972986,True
2-up_adjacency-0_dirichlet_energy_max,-0.7809666823658759,0.002712146099072396,12,0.02531825708972986,True
up_adjacency-1_dirichlet_energy_max,-0.7809666823658759,0.002712146099072396,12,0.02531825708972986,True
down_incidence-1_dirichlet_energy_max,-0.7808987926411329,0.0027160169339049338,12,0.02531825708972986,True
2-up_adjacency-0_degree_assortativity_min,0.7775419143502353,0.06872694144108958,6,0.12893401410849037,False
2-down_adjacency-2_spectral_gap_min,0.7775419143502353,0.06872694144108958,6,0.12893401410849037,False
down_adjacency-2_spectral_gap_mean,0.7775419143502353,0.06872694144108958,6,0.12893401410849037,False
down_adjacency-2_clustering_coefficient_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
down_adjacency-2_spectral_radius_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_adjacency-1_kirchhoff_index_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-up_adjacency-0_kirchhoff_index_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_adjacency-1_effective_diameter_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-down_adjacency-2_spectral_radius_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-down_adjacency-2_clustering_coefficient_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_incidence-1_spectral_gap_max,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-up_incidence-0_effective_diameter_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-down_incidence-2_kirchhoff_index_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-down_incidence-2_effective_diameter_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-down_incidence-2_degree_assortativity_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
down_incidence-2_kirchhoff_index_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
down_incidence-2_effective_diameter_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
down_incidence-2_degree_assortativity_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-up_incidence-0_kirchhoff_index_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
down_incidence-2_spectral_gap_max,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-up_incidence-0_degree_assortativity_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
2-up_incidence-0_spectral_radius_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_incidence-1_degree_assortativity_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_incidence-1_effective_diameter_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_incidence-1_kirchhoff_index_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_incidence-1_spectral_radius_min,0.7768985960673559,0.004907503576863937,11,0.02531825708972986,True
up_adjacency-0_effective_diameter_max,-0.7759235548215613,0.00301134815357049,12,0.02531825708972986,True
up_incidence-0_effective_diameter_max,-0.7759235548215613,0.00301134815357049,12,0.02531825708972986,True
down_incidence-1_effective_diameter_max,-0.7759235548215613,0.00301134815357049,12,0.02531825708972986,True
down_adjacency-1_effective_diameter_max,-0.7759235548215613,0.00301134815357049,12,0.02531825708972986,True
down_adjacency-1_dirichlet_energy_min,0.7734057079343803,0.0031698122581063724,12,0.02531825708972986,True
up_adjacency-0_degree_assortativity_max,-0.7688049900984276,0.0034756600087814124,12,0.02531825708972986,True
up_adjacency-0_dirichlet_energy_mean,-0.7688049900984276,0.0034756600087814124,12,0.02531825708972986,True
down_adjacency-1_spectral_gap_min,0.7600959042306021,0.004115448716741437,12,0.02531825708972986,True
down_adjacency-1_degree_assortativity_max,-0.7545678606521604,0.004565447576225064,12,0.02531825708972986,True
up_adjacency-1_degree_assortativity_max,-0.7439929427698577,0.008655376675168063,11,0.03234168347246297,True
up_incidence-0_spectral_radius_min,0.7432416284073382,0.0056027045555516585,12,0.027059870938515456,True
down_incidence-1_spectral_radius_min,0.7432416284073382,0.0056027045555516585,12,0.027059870938515456,True
up_adjacency-0_spectral_radius_min,0.7432416284073382,0.0056027045555516585,12,0.027059870938515456,True
2-up_adjacency-0_spectral_gap_min,0.7338919556701808,0.010138248871941754,11,0.037119072482754485,True
down_incidence-1_kirchhoff_index_max,-0.7332121664827596,0.006661231910630959,12,0.029649012621827994,True
up_incidence-0_kirchhoff_index_max,-0.7332121664827596,0.006661231910630959,12,0.029649012621827994,True
up_adjacency-0_kirchhoff_index_max,-0.7332121664827596,0.006661231910630959,12,0.029649012621827994,True
down_adjacency-1_kirchhoff_index_max,-0.7332121664827596,0.006661231910630959,12,0.029649012621827994,True
2-down_incidence-2_spectral_gap_max,0.7236990118414283,0.011813556067277464,11,0.04002503324286544,True
down_adjacency-2_clustering_coefficient_mean,0.7236990118414283,0.011813556067277464,11,0.04002503324286544,True
2-down_adjacency-2_clustering_coefficient_mean,0.7236990118414283,0.011813556067277464,11,0.04002503324286544,True
2-up_incidence-0_spectral_gap_max,0.7236990118414283,0.011813556067277464,11,0.04002503324286544,True
2-down_incidence-2_spectral_radius_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
down_incidence-2_dirichlet_energy_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
down_incidence-2_spectral_radius_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
up_adjacency-1_clustering_coefficient_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
2-up_adjacency-0_clustering_coefficient_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
2-up_adjacency-0_spectral_radius_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
up_adjacency-0_clustering_coefficient_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
up_adjacency-1_spectral_radius_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
2-down_incidence-2_dirichlet_energy_min,0.7169281790988649,0.008690936968371105,12,0.03234168347246297,True
up_adjacency-1_spectral_gap_mean,0.7103296289879663,0.01430366062356586,11,0.046384728022135,True
2-down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.2593940618633933,False
2-down_adjacency-2_degree_assortativity_max,-0.7071067811865475,0.18169011381620942,5,0.2593940618633933,False
2-down_adjacency-2_degree_assortativity_min,0.7071067811865475,0.18169011381620942,5,0.2593940618633933,False
down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.2593940618633933,False
down_adjacency-2_degree_assortativity_max,-0.7071067811865475,0.18169011381620942,5,0.2593940618633933,False
down_adjacency-2_degree_assortativity_min,0.7071067811865475,0.18169011381620942,5,0.2593940618633933,False
down_adjacency-1_spectral_radius_min,0.698886590674256,0.011443830790867313,12,0.04002503324286544,True
up_incidence-0_kirchhoff_index_min,0.6924836635404956,0.012561223719148907,12,0.041324605568794234,True
down_incidence-1_kirchhoff_index_min,0.6924836635404956,0.012561223719148907,12,0.041324605568794234,True
up_adjacency-1_degree_assortativity_mean,-0.6874871496480963,0.01940040428715572,11,0.057945944384004584,False
up_adjacency-0_spectral_gap_min,0.6739263552930325,0.01625673181827904,12,0.05197574820773722,False
up_adjacency-1_dirichlet_energy_mean,-0.6671046811070743,0.017797655806285905,12,0.0553433954524233,False
2-up_adjacency-0_dirichlet_energy_mean,-0.6671046811070743,0.017797655806285905,12,0.0553433954524233,False
down_incidence-1_degree_assortativity_max,-0.6620265192514238,0.01901234795260986,12,0.05754403980323251,False
up_incidence-0_degree_assortativity_max,-0.6620265192514238,0.01901234795260986,12,0.05754403980323251,False
up_adjacency-0_spectral_radius_mean,0.6549079545282902,0.02081576687709443,12,0.059064738513755446,False
2-up_adjacency-0_clustering_coefficient_mean,0.6549079545282902,0.02081576687709443,12,0.059064738513755446,False
up_adjacency-1_clustering_coefficient_mean,0.6549079545282902,0.02081576687709443,12,0.059064738513755446,False
up_adjacency-0_clustering_coefficient_mean,0.6549079545282902,0.02081576687709443,12,0.059064738513755446,False
down_adjacency-1_clustering_coefficient_min,0.6504436355879909,0.02200855695821112,12,0.06009763360615664,False
2-up_adjacency-0_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.06009763360615664,False
2-down_incidence-2_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.06009763360615664,False
up_adjacency-1_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.06009763360615664,False
down_incidence-2_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.06009763360615664,False
up_incidence-0_effective_diameter_min,0.6467479331130591,0.023033013760949902,12,0.06009763360615664,False
down_incidence-1_effective_diameter_min,0.6467479331130591,0.023033013760949902,12,0.06009763360615664,False
up_incidence-0_degree_assortativity_mean,-0.640670825082023,0.02479233383705945,12,0.06323437956193814,False
down_incidence-1_degree_assortativity_mean,-0.640670825082023,0.02479233383705945,12,0.06323437956193814,False
down_adjacency-2_clustering_coefficient_max,0.6350852961085884,0.03577300764163147,11,0.08547866036474047,False
2-down_adjacency-2_clustering_coefficient_max,0.6350852961085884,0.03577300764163147,11,0.08547866036474047,False
up_adjacency-1_spectral_gap_max,0.6309596245774289,0.037373434666983785,11,0.08837260072297207,False
up_incidence-1_spectral_radius_max,0.629285308902091,0.038036924681926425,11,0.0890142464205907,False
up_adjacency-0_spectral_gap_mean,0.6121965661894886,0.03435379262871563,12,0.08385280566363922,False
2-down_adjacency-2_spectral_radius_mean,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
down_incidence-2_degree_assortativity_max,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
down_incidence-2_degree_assortativity_mean,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
up_incidence-1_degree_assortativity_mean,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
up_incidence-1_degree_assortativity_max,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
up_adjacency-1_kirchhoff_index_mean,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
down_adjacency-2_spectral_radius_max,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
down_adjacency-2_spectral_radius_mean,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
up_incidence-1_kirchhoff_index_mean,0.6016126652947578,0.05022001908590852,11,0.10555504011575217,False
up_incidence-1_spectral_radius_mean,0.5749923988552011,0.06424009383274182,11,0.1246367632481401,False
2-up_incidence-0_spectral_radius_mean,0.5749923988552011,0.06424009383274182,11,0.1246367632481401,False
down_incidence-1_effective_diameter_mean,-0.5623666131275534,0.05700045335003898,12,0.1155277045576683,False
up_adjacency-0_effective_diameter_mean,-0.5623666131275534,0.05700045335003898,12,0.1155277045576683,False
up_incidence-0_effective_diameter_mean,-0.5623666131275534,0.05700045335003898,12,0.1155277045576683,False
down_adjacency-1_kirchhoff_index_mean,-0.5623666131275534,0.05700045335003898,12,0.1155277045576683,False
up_adjacency-0_kirchhoff_index_mean,-0.5552480484044199,0.060919625341362325,12,0.12025004306512388,False
up_incidence-0_kirchhoff_index_mean,-0.5552480484044199,0.060919625341362325,12,0.12025004306512388,False
