Metric,Spearman_Rho,P_Value,N_samples,Adj_P_Value,Significant
2-down_adjacency-2_spectral_gap_mean,0.8451542547285165,0.03410942316740967,6,0.11650416630607908,False
2-up_incidence-0_spectral_gap_mean,0.8207826816681234,0.001960174397065426,11,0.050618633311375005,False
2-down_incidence-2_spectral_gap_mean,0.8207826816681234,0.001960174397065426,11,0.050618633311375005,False
down_adjacency-1_degree_assortativity_mean,-0.7830421195446948,0.002595827349301282,12,0.050618633311375005,False
down_adjacency-1_clustering_coefficient_mean,0.7830421195446948,0.002595827349301282,12,0.050618633311375005,False
down_adjacency-2_spectral_gap_mean,0.7775419143502353,0.06872694144108958,6,0.1279069289101578,False
up_adjacency-0_dirichlet_energy_mean,-0.7688049900984276,0.0034756600087814124,12,0.05422029613699004,False
2-down_adjacency-2_clustering_coefficient_mean,0.7236990118414283,0.011813556067277464,11,0.09208581139479224,False
down_adjacency-2_clustering_coefficient_mean,0.7236990118414283,0.011813556067277464,11,0.09208581139479224,False
up_adjacency-1_spectral_gap_mean,0.7103296289879663,0.01430366062356586,11,0.09208581139479224,False
2-down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.25306837281543454,False
down_adjacency-2_degree_assortativity_mean,-0.7071067811865475,0.18169011381620942,5,0.25306837281543454,False
up_adjacency-1_degree_assortativity_mean,-0.6874871496480963,0.01940040428715572,11,0.09208581139479224,False
2-up_adjacency-0_dirichlet_energy_mean,-0.6671046811070743,0.017797655806285905,12,0.09208581139479224,False
up_adjacency-1_dirichlet_energy_mean,-0.6671046811070743,0.017797655806285905,12,0.09208581139479224,False
2-up_adjacency-0_clustering_coefficient_mean,0.6549079545282902,0.02081576687709443,12,0.09208581139479224,False
up_adjacency-0_spectral_radius_mean,0.6549079545282902,0.02081576687709443,12,0.09208581139479224,False
up_adjacency-0_clustering_coefficient_mean,0.6549079545282902,0.02081576687709443,12,0.09208581139479224,False
up_adjacency-1_clustering_coefficient_mean,0.6549079545282902,0.02081576687709443,12,0.09208581139479224,False
2-up_adjacency-0_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.09208581139479224,False
2-down_incidence-2_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.09208581139479224,False
up_adjacency-1_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.09208581139479224,False
down_incidence-2_spectral_radius_mean,0.6477893898051567,0.022740883444808662,12,0.09208581139479224,False
down_incidence-1_degree_assortativity_mean,-0.640670825082023,0.02479233383705945,12,0.09208581139479224,False
up_incidence-0_degree_assortativity_mean,-0.640670825082023,0.02479233383705945,12,0.09208581139479224,False
