dataset_name,model_type,model_category,config.model.model_domain,score_name,score,score_std,val_score,run_count,config.model.tune_gnn,config.model.backbone.neighborhoods,config.model.backbone.GNN.num_layers,config.model.feature_encoder.out_channels,config.model.feature_encoder.proj_dropout,config.optimizer.parameters.lr,config.optimizer.parameters.weight_decay,config.dataset.dataloader_params.batch_size
BBB_Martins,gin,baselines_best,graph,accuracy,0.8287356350156996,0.0091949425947837,0.8837438450919257,45,,,,256.0,0.25,0.001,0.0001,256.0
BBB_Martins,topotune,topotune_cell,cell,accuracy,0.853201973438263,0.0164859126819999,0.906403923034668,5,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,256.0,0.5,0.01,0.0001,128.0
BBB_Martins,topotune,topotune_simplicial,simplicial,accuracy,0.83103449344635,0.002808300798617,0.9054187297821044,5,GIN,"['up_adjacency-0', '2-up_adjacency-0']",1.0,256.0,0.25,0.01,0.0001,128.0
CYP3A4_Veith,gat,baselines_best,graph,accuracy,0.7760295629501343,0.0084972867178008,0.7914030803574457,45,,,,256.0,0.5,0.001,0.0001,128.0
CYP3A4_Veith,topotune,topotune_cell,cell,accuracy,0.7864557862281799,0.003553764595866,0.8235198616981506,5,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,256.0,0.5,0.01,0.0001,256.0
CYP3A4_Veith,topotune,topotune_simplicial,simplicial,accuracy,0.7788321256637574,0.0046111325727893,0.8207623720169067,5,GIN,['up_adjacency-0'],2.0,128.0,0.5,0.01,0.0001,256.0
Caco2_Wang,gat,baselines_best,graph,mae,1.104136468304528,0.1495468144098443,1.075055368741353,45,,,,128.0,0.25,0.01,0.0001,128.0
Caco2_Wang,topotune,topotune_cell,cell,mae,0.8480376362800598,0.0029453658539542,0.7860114812850952,5,GCN,['up_adjacency-0'],4.0,128.0,0.25,0.01,0.0001,128.0
Caco2_Wang,topotune,topotune_simplicial,simplicial,mae,0.7557640314102173,0.0328332359765273,0.6823072075843811,5,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,128.0,0.25,0.01,0.0001,128.0
Clearance_Hepatocyte_AZ,gat,baselines_best,graph,mae,36.614068264431424,2.396942435783505,35.08010423448351,45,,,,128.0,0.25,0.01,0.0001,128.0
Clearance_Hepatocyte_AZ,topotune,topotune_cell,cell,mae,36.68585891723633,0.5200598562191215,31.973246002197264,5,GCN,"['up_adjacency-0', '2-up_adjacency-0']",2.0,128.0,0.5,0.01,0.0001,256.0
Clearance_Hepatocyte_AZ,topotune,topotune_simplicial,simplicial,mae,35.03855819702149,1.4064841714448637,32.43352355957031,5,GIN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,128.0,0.25,0.01,0.0001,128.0
MUTAG,gat,baselines_best,graph,accuracy,0.7862884177101983,0.0936209428882817,0.8401891337500678,45,,,,128.0,0.25,0.001,0.0,256.0
MUTAG,topotune,topotune_cell,cell,accuracy,0.7617021322250366,0.069597584466088,0.8382978916168213,5,GCN,"['up_adjacency-0', '2-up_adjacency-0']",4.0,256.0,0.5,0.01,0.0001,256.0
MUTAG,topotune,topotune_simplicial,simplicial,accuracy,0.8425531983375549,0.0910180922147759,0.8936170339584351,5,GIN,['up_adjacency-0'],4.0,128.0,0.5,0.01,0.0001,128.0
NCI1,gat,baselines_best,graph,accuracy,0.7305447578430175,0.0155005068135775,0.7422698219617208,45,,,,128.0,0.25,0.01,0.0001,128.0
